"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,1,1,0,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,0.330701101102217,0.487348991098004,4,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,0.193312545307291,0.409728093769515,4,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,0.219497193090811,0.409728093769515,1,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,0.141316007103796,0.409728093769515,2,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,0.488325203218673,0.650702415530433,9,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,0.157448084614127,0.409728093769515,3,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,0.219497193090811,0.409728093769515,1,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,0.219497193090811,0.409728093769515,1,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,0.0398561198435122,0.18599522593639,78,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,0.818256368132507,0.881199165681161,5,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,0.80416050848392,0.881199165681161,4,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,0.0389611740231166,0.18599522593639,10,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,0.542475634792431,0.660405120616873,12,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,0.0047087106796243,0.0439479663431601,18,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,0.27889473674494,0.433836257158795,5,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,0.0138790118690631,0.0971530830834418,47,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,1.35892181201494e-05,0.000380498107364184,38,216,"IL.4.up.reg..targets..Netpath."
"B.Cell.Receptor.down.reg..targets..Netpath.",19,0.511266183631055,0.650702415530433,15,178,"B.Cell.Receptor.down.reg..targets..Netpath."
"IL.3.up.reg..targets..Netpath.",20,0.456915984066923,0.639682377693693,3,39,"IL.3.up.reg..targets..Netpath."
"Hemostasis..Reactome.",21,0.25398295876363,0.423779616322944,44,459,"Hemostasis..Reactome."
"Integrin.cell.surface.interactions..Reactome.",22,0.763813188456469,0.881199165681161,5,84,"Integrin.cell.surface.interactions..Reactome."
"Type.II.interferon.signaling..IFNG...Wikipathways.",23,0.126034552848618,0.409728093769515,5,39,"Type.II.interferon.signaling..IFNG...Wikipathways."
"Signaling.in.Immune.system..Reactome.",24,0.924567385439034,0.958810621936776,32,464,"Signaling.in.Immune.system..Reactome."
"Allograft.rejection..KEGG.",25,0.177710034193586,0.409728093769515,4,34,"Allograft.rejection..KEGG."
"Cell.adhesion.molecules..CAMs...KEGG.",26,0.000798933090287833,0.0111850632640297,22,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Osteoclast.differentiation..KEGG.",27,0.159615380318809,0.409728093769515,14,128,"Osteoclast.differentiation..KEGG."
"Chemokine.signaling.pathway..KEGG.",28,0.257294767053216,0.423779616322944,18,182,"Chemokine.signaling.pathway..KEGG."
