"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Lysine.degradation..KEGG.",1,1,1,0,49,"Lysine.degradation..KEGG."
"ABC.transporters..KEGG.",2,1,1,0,43,"ABC.transporters..KEGG."
"Prion.diseases..KEGG.",3,1,1,0,35,"Prion.diseases..KEGG."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",4,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",5,1,1,0,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",6,1,1,0,108,"Signaling.by.Insulin.receptor..Reactome."
"X.ESR1.24...Static.Module.",7,1,1,0,24,"X.ESR1.24...Static.Module."
"X.SPTAN1.10...Static.Module.",8,1,1,0,10,"X.SPTAN1.10...Static.Module."
"IL.3.down.reg..targets..Netpath.",9,1,1,0,10,"IL.3.down.reg..targets..Netpath."
"TGF.beta.receptor.down.reg..targets..Netpath.",10,0.0997305659457211,0.310272871831132,13,735,"TGF.beta.receptor.down.reg..targets..Netpath."
"IL.4.down.reg..targets..Netpath.",11,1,1,0,90,"IL.4.down.reg..targets..Netpath."
"IL.6.up.reg..targets..Netpath.",12,1,1,0,75,"IL.6.up.reg..targets..Netpath."
"Leishmaniasis..KEGG.",13,0.225989534934377,0.527308914846881,1,69,"Leishmaniasis..KEGG."
"Phagosome..KEGG.",14,0.29882151948279,0.59764303896558,2,147,"Phagosome..KEGG."
"Leukocyte.transendothelial.migration..KEGG.",15,0.0160979881148055,0.112685916803638,4,113,"Leukocyte.transendothelial.migration..KEGG."
"Malaria..KEGG.",16,0.137616397374539,0.360086524475204,1,50,"Malaria..KEGG."
"X.GRB2.414...Static.Module.",17,0.141462563186687,0.360086524475204,7,393,"X.GRB2.414...Static.Module."
"IL.4.up.reg..targets..Netpath.",18,0.00745680350119875,0.0900414009825836,7,216,"IL.4.up.reg..targets..Netpath."
"B.Cell.Receptor.down.reg..targets..Netpath.",19,0.0831350422728594,0.310272871831132,4,178,"B.Cell.Receptor.down.reg..targets..Netpath."
"IL.3.up.reg..targets..Netpath.",20,0.0911422299493081,0.310272871831132,1,39,"IL.3.up.reg..targets..Netpath."
"Hemostasis..Reactome.",21,0.0778889502536482,0.310272871831132,9,459,"Hemostasis..Reactome."
"Integrin.cell.surface.interactions..Reactome.",22,1,1,0,84,"Integrin.cell.surface.interactions..Reactome."
"Type.II.interferon.signaling..IFNG...Wikipathways.",23,1,1,0,39,"Type.II.interferon.signaling..IFNG...Wikipathways."
"Signaling.in.Immune.system..Reactome.",24,0.257714334433219,0.555077028010009,7,464,"Signaling.in.Immune.system..Reactome."
"Allograft.rejection..KEGG.",25,0.00964729296241967,0.0900414009825836,2,34,"Allograft.rejection..KEGG."
"Cell.adhesion.molecules..CAMs...KEGG.",26,4.58272476863398e-05,0.00128316293521751,8,128,"Cell.adhesion.molecules..CAMs...KEGG."
"Osteoclast.differentiation..KEGG.",27,0.497338149570847,0.928364545865581,1,128,"Osteoclast.differentiation..KEGG."
"Chemokine.signaling.pathway..KEGG.",28,0.0893535735475298,0.310272871831132,4,182,"Chemokine.signaling.pathway..KEGG."
