"","Node1","Node2","Mean","INT"
"13","ABCA8","GNA13",0.510390182,"Correlation"
"14","ABCA8","HEXB",0.59856025,"Correlation"
"16","ABCA8","KCNAB1",0.533361165,"Correlation"
"19","ABCA8","MED8",0.568275515,"Correlation"
"20","ABCA8","METTL9",0.590003053,"Correlation"
"24","ABCA8","SNX11",0.612768813,"Correlation"
"26","ABCA8","TMED10",0.56332238,"Correlation"
"48","ABI1","RCN2",0.555016879,"Correlation"
"60","ABL1","REL",0.500989881,"Correlation"
"62","ABL1","SOCS2",0.564330069,"Correlation"
"66","ADAM17","ZNF292",0.519961009,"Correlation"
"71","ADAMTS1","CXorf56",0.538878955,"Correlation"
"74","ADAMTS1","HMGN4",0.53983775,"Correlation"
"80","ADAMTS1","SLC26A2",0.531195464,"Correlation"
"81","ADAMTS1","STRN3",0.604466346,"Correlation"
"84","ADAMTS1","TPP1",0.52768411,"Correlation"
"88","ADAMTS1","ZCCHC8",0.550628237,"Correlation"
"90","ADNP","ENPP2",0.586650922,"Correlation"
"91","ADNP","LRRC14",0.521340588,"Correlation"
"94","ADNP","R3HCC1",0.560995296,"Correlation"
"95","ADNP","RCN2",0.523189917,"Correlation"
"105","AGO3","FHL1",0.57105868,"Correlation"
"120","AHR","ANKRD27",0.503100086,"Correlation"
"134","ALMS1","ATP8B1",0.600091811,"Correlation"
"141","AMD1","PLEKHA2",0.548246529,"Correlation"
"144","AMD1","PPP3CA",0.513486677,"Correlation"
"149","AMD1","TGOLN2",0.539879177,"Correlation"
"150","AMD1","TIMP2",0.622779324,"Correlation"
"151","AMD1","TRIT1",0.704597318,"Correlation"
"152","AMD1","TXN2",0.566060655,"Correlation"
"153","AMD1","WASF1",0.544436364,"Correlation"
"154","AMD1","YY1AP1",0.745101242,"Correlation"
"155","AMD1","ZCCHC6",0.561240394,"Correlation"
"157","AMD1","ZNF573",0.505668485,"Correlation"
"158","ANKRD10","ABI1",0.549165228,"Correlation"
"159","ANKRD10","BCLAF1",0.517603799,"Correlation"
"165","ANKRD10","ERBB4",0.588781395,"Correlation"
"166","ANKRD10","LRRC14",0.559508236,"Correlation"
"172","ANKRD10","WSB1",0.690535622,"Correlation"
"173","ANKRD10","ZFX",0.511470197,"Correlation"
"174","ANKRD27","CYP2E1",0.588977771,"Correlation"
"178","ANKRD27","TGOLN2",0.525310566,"Correlation"
"180","ANKRD28","DOLPP1",0.534328988,"Correlation"
"184","ANKRD28","TNFAIP3",0.555475652,"Correlation"
"187","ANXA1","MED8",0.531026175,"Correlation"
"189","ANXA1","TMOD2",0.546065365,"Correlation"
"190","ARMC1","ADNP",0.57986156,"Correlation"
"191","ARMC1","AKR1C1",0.599533147,"Correlation"
"194","ARMC1","BCLAF1",0.593042736,"Correlation"
"196","ARMC1","CREG1",0.567207589,"Correlation"
"197","ARMC1","DEDD",0.571555201,"Correlation"
"216","ARMC1","TMX1",0.502417039,"Correlation"
"217","ARMC1","UCHL1",0.560718775,"Correlation"
"218","ARMC1","UPF3B",0.514166289,"Correlation"
"223","ASXL2","ANKRD27",0.661525892,"Correlation"
"225","ASXL2","CLCN6",0.524336529,"Correlation"
