Pathways in cancer,Epstein-Barr virus infection,Viral carcinogenesis,Chronic myeloid leukemia,Hepatitis B,ErbB signaling pathway,Apoptosis,HTLV-I infection,NF-kappa B signaling pathway,Proteoglycans in cancer,Cell cycle,Neurotrophin signaling pathway,MAPK signaling pathway,FoxO signaling pathway,T cell receptor signaling pathway,Protein processing in endoplasmic reticulum,B cell receptor signaling pathway,Small cell lung cancer,Focal adhesion,Non-small cell lung cancer,Thyroid hormone signaling pathway,TNF signaling pathway,Spliceosome,Ubiquitin mediated proteolysis,Herpes simplex infection,Adherens junction,Prostate cancer,Ribosome,Pancreatic cancer,Renal cell carcinoma,Acute myeloid leukemia,Colorectal cancer,Glioma,Bacterial invasion of epithelial cells,Regulation of actin cytoskeleton,PI3K-Akt signaling pathway,Hippo signaling pathway,Transcriptional misregulation in cancer,Osteoclast differentiation,RNA transport,AGE-RAGE signaling pathway in diabetic complications,Chemokine signaling pathway,Sphingolipid signaling pathway,Hepatitis C,Fc gamma R-mediated phagocytosis,Insulin signaling pathway,DNA replication,Chagas disease (American trypanosomiasis),Endocytosis,Endometrial cancer,Mismatch repair,Influenza A,Shigellosis,Toxoplasmosis,Nucleotide excision repair,Measles,Pathogenic Escherichia coli infection,Bladder cancer,HIF-1 signaling pathway,VEGF signaling pathway,Tuberculosis,Prolactin signaling pathway,Long-term potentiation,Leukocyte transendothelial migration,Adipocytokine signaling pathway,Insulin resistance,Fc epsilon RI signaling pathway,Tight junction,mRNA surveillance pathway,p53 signaling pathway,NOD-like receptor signaling pathway,Oxytocin signaling pathway,Ras signaling pathway,Estrogen signaling pathway,AMPK signaling pathway,Platelet activation,Natural killer cell mediated cytotoxicity,Base excision repair,Proteasome,Wnt signaling pathway,Toll-like receptor signaling pathway,Non-alcoholic fatty liver disease (NAFLD),RIG-I-like receptor signaling pathway,Thyroid cancer,Pentose phosphate pathway,RNA degradation,MicroRNAs in cancer,GnRH signaling pathway,Legionellosis,Epithelial cell signaling in Helicobacter pylori infection,Rap1 signaling pathway,Notch signaling pathway,TGF-beta signaling pathway,Carbon metabolism,Gap junction,Melanoma,Amoebiasis,Dopaminergic synapse,Huntington's disease,mTOR signaling pathway,Long-term depression,Glycolysis / Gluconeogenesis,Choline metabolism in cancer,Biosynthesis of amino acids,Oocyte meiosis,Central carbon metabolism in cancer,Glucagon signaling pathway,Salmonella infection,Longevity regulating pathway - mammal,Cholinergic synapse,Alzheimer's disease,Dorso-ventral axis formation,Synaptic vesicle cycle,Fanconi anemia pathway,Longevity regulating pathway - multiple species,cGMP-PKG signaling pathway,Amyotrophic lateral sclerosis (ALS),Leishmaniasis,Phospholipase D signaling pathway,Viral myocarditis,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Phagosome,Signaling pathways regulating pluripotency of stem cells,Axon guidance,Non-homologous end-joining,Alcoholism,Lysine degradation,Type II diabetes mellitus,Pertussis,Serotonergic synapse,African trypanosomiasis,Jak-STAT signaling pathway,cAMP signaling pathway,Vascular smooth muscle contraction,Amphetamine addiction,Circadian rhythm,SNARE interactions in vesicular transport,Hypertrophic cardiomyopathy (HCM),Melanogenesis,GABAergic synapse,Retrograde endocannabinoid signaling,"Glycine, serine and threonine metabolism",Homologous recombination,Progesterone-mediated oocyte maturation,ECM-receptor interaction,Parkinson's disease,Prion diseases,Inflammatory mediator regulation of TRP channels,Adrenergic signaling in cardiomyocytes,Fructose and mannose metabolism,Circadian entrainment,Glutamatergic synapse,Cysteine and methionine metabolism,Calcium signaling pathway,Vibrio cholerae infection,Cytosolic DNA-sensing pathway,Collecting duct acid secretion,Morphine addiction,Vasopressin-regulated water reabsorption,Malaria,Primary immunodeficiency,Dilated cardiomyopathy,Arginine and proline metabolism,Antigen processing and presentation
RB1,RB1,RB1,RB1,RB1,GSK3B,TRADD,RB1,CD40,ARAF,RB1,YWHAE,ATF2,CDKN1A,ITK,TRAM1,GSK3B,RB1,ITGB1,RB1,GSK3B,ATF2,TCERG1,UBE2D4,FASLG,SRC,RB1,RPL4,RB1,FH,CEBPA,GSK3B,RB1,ITGB1,CYFIP2,ATF2,YWHAE,CD40,SPI1,CYFIP2,CDKN1B,ITK,TRADD,GSK3B,NCF1,GSK3B,FEN1,FASLG,VPS29,GSK3B,RFC5,ATF2,ITGB1,ITGB1,PCNA,GSK3B,ITGB1,RB1,CAMK2B,SRC,TRADD,GSK3B,CAMK2B,ITGB1,PRKAA1,GSK3B,PIK3R3,RAB3B,SMG1,CDKN1A,HSP90AB1,CDKN1A,FASLG,ATF2,CRTC2,ITGB1,ITGB2,FEN1,PSMD12,GSK3B,CD40,GSK3B,DDX3X,MAP2K1,PRPS2,BTG2,CDKN1A,CAMK2B,RAB1A,ATP6V1A,ITGB1,NOTCH2,ROCK1,PRPS2,SRC,RB1,RAB5C,CAMK2B,HIP1,PRKAA1,ARAF,GPI,PDGFB,PRPS2,YWHAE,PTEN,CAMK2B,DYNC1I2,ATF2,CAMK2B,APP,NOTCH2,NAPA,MUS81,PRKAA1,ATF2,DAXX,ITGB1,SHC1,CD40,ITGB1,ATP6V1A,GSK3B,ITGB1,FEN1,ATF2,KMT2E,IRS1,ITGB1,APP,PRKCG,CNTFR,GLI3,ROCK1,PRKCG,PRKAB2,STX17,ITGB1,CAMK2B,GABRB2,GABRB2,GAMT,RAD52,HSP90AB1,ITGB1,NDUFB8,PRNP,CAMK2B,CAMK2B,PFKL,CAMK2B,ITPR1,DNMT1,CAMK2B,ATP6V1A,ZBP1,ATP6V1A,GABRB2,NSF,CD40,ZAP70,ITGB1,GAMT,PDIA3
SPI1,ATF2,ATF2,CDKN1A,ATF2,CDKN1A,CTSZ,ATF2,TRADD,CBLC,YWHAE,GSK3B,TNF,CDKN1B,GSK3B,HSP90AB1,CD81,ITGB1,GSK3B,ARAF,THRA,TRADD,DDX42,UBE2D2,IFIT1,LEF1,GSK3B,RPL5,ARAF,EPAS1,SPI1,LEF1,CAMK2B,SHC1,ITGB1,CRTC2,GSK3B,CDKN1A,NCF1,CYFIP1,TNF,GSK3B,PTEN,CDKN1A,INPPL1,IRS1,PCNA,PPP2R2A,SH3GL3,LEF1,RFC3,GSK3B,ROCK1,CD40,CCNH,CDKN1B,ROCK1,CDKN1A,CAMK2D,PXN,ITGB2,SHC1,CAMK2D,ITK,PRKAA2,CRTC2,PIK3R1,PTEN,CSTF2,CD82,TNFAIP3,MYL6B,FGF2,HSP90AB1,IRS1,ITGB3,ARAF,PCNA,PSMD11,PPP3CA,PIK3R3,IRS1,TRADD,TPM3,GPI,BTG1,CDKN1B,CAMK2D,VCP,SRC,ITGB3,NOTCH3,CHRD,GPI,ITPR1,CDKN1A,LAMC3,ATF2,CLTC,PRKAA2,ITPR1,PDHB,WAS,PRPS1,CAMK2B,PIK3R3,ATF2,ROCK1,PRKAA1,CAMK2D,GSK3B,NOTCH3,ATP6V1A,WDR48,HDAC2,IRS1,TOMM40,NCF1,PDGFB,CAV1,ITGB5,ITGB1,RIF1,EPHB6,XRCC6,HDAC11,SUV39H2,PRKCE,ITGB2,GABRB2,VCAM1,CNTF,PIK3CG,ARAF,CAMK2B,PRKAA1,STX16,PRKAA1,GSK3B,SRC,ITPR1,ALAS1,MUS81,ARAF,ITGB5,UQCRB,MAP2K1,CAMK2D,ATF2,TPI1,CAMK2D,CACNA1A,AHCYL2,CAMK2D,PRKCA,RIPK3,ATP4A,PDE1B,DYNC1H1,TGFB1,CD79A,TGFB1,OAT,HSPA8
CSF3R,SPI1,GTF2B,CDKN1B,CDKN1A,CDKN1B,FASLG,CRTC2,TNFAIP3,CBLB,CDKN1C,IRS1,FGF2,IRS1,CBLC,UBE2D4,INPPL1,CDKN1B,ITGB5,PIK3R3,ITGB3,TNFAIP3,HNRNPU,UBE2D3,TNF,WAS,CDKN1A,RPL30,PIK3R3,CUL2,LEF1,ARAF,CAMK2D,SRC,CYFIP1,CSF3R,YWHAB,SPI1,ITGB3,POP5,PIK3CG,NCF1,PPP2R2A,CD81,WASL,ARAF,MCM7,TNF,TFRC,ARAF,PCNA,FASLG,SRC,LAMC3,XPA,TNFAIP3,WAS,SRC,CDKN1A,PIK3R3,TNF,SRC,ARAF,NCF1,IRS1,PRKAA1,TNF,PPP2R2A,PPP2R2A,PTEN,NOD2,ACTB,ETS1,SHC1,IRS4,SNAP23,FASLG,LIG1,PSMD13,FRAT1,PIK3R1,FASLG,TNF,LEF1,PRPS1,ENO1,IRS1,SRC,SAR1A,RELA,ITGB2,HDAC2,CUL1,PRPS1,PDGFB,ARAF,LAMA4,GSK3B,ATP5C1,IRS1,ITPR2,ENO1,PDGFA,ACY1,CAMK2D,PDHB,CRTC2,WAS,PRKAA2,ITPR1,ATP5C1,MAP2K1,SNAP25,POLN,PRKAA2,IRS4,DERL1,ITGB2,PDGFA,ITGB2,ITGB4,DYNC1I2,DLX5,ROBO2,XRCC5,ARAF,KMT2D,IRS4,TNF,ARAF,PRKCB,CDKN1A,PPP1CB,ITPR1,ATF2,PRKAA2,SNAP23,PRKAA2,CAMK2D,CACNA1A,CACNA1A,AGXT2,POLD3,PIK3R3,LAMC3,NDUFB11,NOTCH1,SRC,CAMK2D,AKR1B1,ITPR1,ITPR2,AHCYL1,PDE1B,ACTB,CHUK,CA2,CACNA1A,DYNC1I2,VCAM1,CD4,TPM4,GOT1,HSP90AA1
ARAF,GTF2B,HDAC11,ARAF,DDX3X,ARAF,TNF,SPI1,CXCL2,TNF,GSK3B,FASLG,CRKL,ARAF,CBLB,UBE2D2,PIK3CG,LAMC3,LAMC3,TGFA,MED16,TNF,PRPF19,KEAP1,PPP1CB,PTPRM,CDKN1B,RPL3,TGFA,ARAF,ARAF,PIK3R3,CDKN1A,CLTC,NCKAP1,IRS1,ITGB2,CDKN1B,FHL2,EIF4A1,ICAM1,ARRB1,TNF,TRADD,PIK3CG,INPPL1,POLD3,CD3D,SH3KBP1,PTEN,RFC4,NXT2,UBE2D2,LAMC1,XPC,CBLB,WASL,ARAF,CDKN1B,HSPB1,CASP9,PIK3R3,ITPR1,ITGB2,TRADD,PRKAA2,PIK3CG,CLDN1,CASC3,RCHY1,CXCL2,PIK3CG,ETS2,SRC,PPP2R2A,ACTB,TNF,PARP1,PSMA7,CCND3,TNF,TNF,RELA,BRAF,TALDO1,ENO2,ITGB3,ITPR1,RAB1B,EGFR,FGF2,NOTCH1,TNF,FH,ITPR2,PTEN,ITGB2,CAMK2D,AP2A1,PTEN,CACNA1A,ENO2,PIK3R3,SHMT2,YWHAB,SLC1A5,PRKAA1,WASL,IRS1,CACNA1A,TNF,NOTCH1,RAB3A,SLX1B,HDAC1,ADRA1D,TNFRSF1B,PTGS2,PIK3R3,HLA-B,ITGB3,RAB5C,PIK3R3,GSK3B,PRKDC,PPP1CB,SETD2,CACNA1A,RELA,ITPR1,LAMA4,CSF3R,PPP1CC,ITPR2,JUN,CUL1,STX11,ITGB5,LEF1,CACNA1C,ITPR2,GLDC,POLD4,PIK3R1,ITGB4,LRRK2,HSPA5,ITPR1,PIK3R3,ALDOC,CACNA1C,CACNA1C,AHCY,PTGER3,ACTG1,DDX58,ATP6V1B2,ARRB1,RAB5C,LRP1,CD40,ITGA4,NOS2,HSP90AB1
CBLC,RBPJ,UBE3A,CBLC,CDKN1B,CBLC,ACTB,TRRAP,TNF,FGF2,CDKN1A,PIK3CG,RPS6KA6,IRS4,TNF,UBE2D3,IKBKB,PTEN,ITGB4,PIK3R1,ACTB,CXCL2,USP39,UBE2D1,IFIH1,IQGAP1,HSP90AB1,RPL32,PIK3R1,PDGFB,PIK3R3,PIK3R1,SHC1,PXN,ITGB5,PPP2R2A,PPP2R2A,LDB1,TNF,NUP107,CCND1,WASL,PIK3CG,ARAF,CRKL,IRS4,POLD4,PIK3CG,WIPF1,ILK,LIG1,TNF,WAS,TNF,POLD3,FASLG,CLDN1,THBS1,TFRC,PIK3R1,MRC2,TNFRSF11A,ITPR2,CLDN1,IRS4,IRS1,NRAS,ACTB,NXT2,THBS1,TNF,ACTG1,PIK3CG,ITPR1,SLC2A4,PIK3CG,PIK3CG,XRCC1,PSMB6,CCND1,RELA,COX6A2,IFIH1,RXRB,PGD,TOB1,PTEN,ITPR2,ITGB2,CDC42,ACTB,CTBP2,THBS1,ECHS1,PDGFA,PDGFB,PIK3R3,ITPR1,COX6A2,PIK3R3,GNAI2,ENO3,PIK3R1,SHMT1,CUL1,PIK3R1,CAMK2D,CXCL2,EHMT2,ITPR2,COX6A2,NOTCH4,STXBP1,FANCA,IRS1,ADRA1B,MAPK14,TNF,PIK3R1,HLA-C,LEF1,NCF1,PIK3R1,ROCK1,POLM,PPP1CC,ECHS1,PIK3R3,GNAI2,CACNA1A,APOA1,FHL1,RAC2,MYL6B,CAMK2D,CSNK1E,VAMP8,ITGB4,ADCY7,ADCY7,CACNA1C,SHMT2,EME1,ADCY7,LAMA4,HTRA2,LAMC1,ITPR2,ADRA1D,ALDOB,ADCY7,ADCY7,GOT1,ITPR1,ATP6V1B2,RELA,SLC4A1,ARRB2,DCTN2,CD81,LCK,ITGB5,NOS3,HSPA5
CBLB,ICAM1,RBPJ,CBLB,YWHAB,CBLB,PIK3CG,TNF,ICAM1,ACTB,CDKN1B,CRKL,MYC,PTEN,CD3D,NGLY1,PPP3CA,LAMC1,ITGB3,FOXO3,PIK3CG,PIK3CG,PQBP1,CBLC,IKBKB,WASL,ARAF,RPL31,RELA,PIK3R3,PIK3R1,PIK3CG,ARAF,WAS,ITGB4,FGF2,ACTB,JMJD1C,PIK3CG,GEMIN2,CASP3,ARRB2,PPP2R1B,PPP2R2A,CFL2,CBLC,POLD1,IKBKB,CLTC,PIK3R3,RFC1,ACTB,U2AF1,PIK3CG,POLD4,CD3D,ACTB,EGFR,CUL2,PTGS2,PPP3CA,CSN2,CACNA1C,ACTB,SLC2A4,PTEN,MAPK8,ACTG1,GSPT1,CASP9,RELA,PPP1CB,IKBKB,ITPR2,ADRA1A,ACTG1,ICAM1,APEX2,PSMB4,MYC,PIK3CG,PIK3CG,IKBKB,NRAS,RPIA,ENO3,BRCA1,CACNA1C,CXCL2,IKBKB,PIK3CG,HDAC1,PPP2CA,GLDC,ADCY7,PIK3R3,HSPB1,CACNA1A,DNALI1,PIK3R1,PPP2CA,HK1,WASL,ENO1,ITPR1,HIF1A,PRKAA2,RELA,IRS4,PIK3R3,CASP9,ETS1,CLTC,RPA1,IRS4,ADRA1A,TNF,RELA,ADCY7,HLA-A,CACNA1C,TFRC,BMI1,NTN4,MRE11A,HIST1H2AE,SETDB1,PIK3R1,C4B,ITPR2,HBA2,PIK3R3,PDE4B,ADRA1D,PRKCB,RORB,STX1B,ITGB3,GNAI2,GABARAP,PTGS2,PGAM1,RPA3,PIK3CG,ITGB3,ATP5C1,SOD1,PIK3R3,PPP2R2A,ALDOA,GNAI2,PLD2,MDH2,CACNA1A,PLCG2,NFKB1,ATP6V1E1,ADCY7,DCTN1,SDC2,AIRE,TPM3,AMD1,HSPA1L
FGF2,PSMD6,CCND3,PIK3CG,PTEN,PIK3CG,ACTG1,ETS1,IKBKB,ACTG1,MCM7,IKBKB,RPS6KA2,FASLG,PIK3CG,UBE2D1,RAC2,PIK3CG,PTEN,STK4,ACTG1,ICAM1,EFTUD2,UBE3A,PPP1CC,NLK,PTEN,MRPS11,EGFR,TGFA,RELA,CASP9,PTEN,ILK,ITGB3,CCND3,AMOT,PLAT,IKBKB,FMR1,PIM1,CXCL14,PPP2R1A,IFIT1,CFL1,CBLB,POLD2,CASP8,CBLC,PIK3R1,RFC2,PIK3CG,NOD2,CASP9,POLD1,PIK3CG,ACTG1,NRAS,PIK3R3,PIK3CG,CASP8,PIK3R1,PPP1CB,PIK3CG,TNF,PIK3R3,INPP5D,PPP2R1B,SMG6,CCND3,HSP90B1,PPP1CC,RASSF1,PIK3R3,PIK3CG,PPP1CB,PPP3CA,HMGB1,PSMD6,RUVBL1,IKBKB,IKBKB,MAPK8,CCND1,PFKL,HSPD1,BMI1,ADCY7,TNF,PAK1,CRKL,CTBP1,PPP2CB,SHMT2,EGFR,PDGFA,PIK3R1,ITPR2,CASP9,TNF,GNA13,LDHB,HIF1A,MAT2B,ITPR2,EGFR,ITPR1,ACTB,PIK3R3,PIK3R1,PPP3CA,EGFR,CACNA1A,RPA2,PIK3R3,PIK3CG,TNFRSF1A,IRAK1,EGFR,ACTB,ACTB,ITGB5,FGF2,GNAI2,LIG4,HIST1H2AD,KMT2A,CACNA1C,CASP7,CACNA1C,PRKCA,CSF2RB,AKT1,CACNA1C,HDAC1,PRKAB1,VTI1A,CACNA1C,NRAS,TRAK2,ADCY7,GLYCTK,POLD1,GNAI2,LAMC1,UBE2L6,STIP1,PIK3R1,PIK3R1,PFKM,GNG3,GNAI2,AGXT2,ITPR2,ATP6V1H,NFKBIA,ATP6V0C,GNAI2,AVPR2,ITGB2,CD19,ITGA3,GOT2,HSPA4
ETS1,PSMD7,CCND1,CRKL,FASLG,CRKL,LMNB1,ETS2,TNFSF11,PPP1CB,CCNH,RPS6KA6,STMN1,SLC2A4,IKBKB,HERPUD1,AKT1,CKS1B,ILK,FHIT,MED17,IKBKB,SART1,CBLB,TBK1,PTPRF,PIK3CG,RPLP1,PIK3CG,PIK3R1,PIK3CG,MAPK8,PDGFB,PIK3R3,ITGB2,STK11,CTGF,BMI1,PPP3CA,PHAX,AKT1,CXCL2,RAC2,TNF,RAC2,SLC2A4,POLE,PPP2R1B,CBLB,FOXO3,RPA1,ACTG1,WASL,IKBKB,POLD2,IFIH1,CDC42,RASSF1,PDHB,CASP9,LAMP1,FOXO3,RAP1B,ACTG1,RELA,PIK3R1,PLCG2,PPP2R1A,PPP1CB,CCNB1,IKBKB,PPP3CA,TBK1,PIK3R1,RPTOR,PPP1CC,CASP3,UNG,PSMD7,RAC2,MAPK8,CASP7,CASP8,TFG,PGM2,EDC4,CRKL,EGFR,RELA,MAPK8,ACTG1,MAML1,PPP2R1B,SHMT1,GNAI2,PIK3R1,LAMC1,PPP2R2A,CASP8,HIF1A,PPP2CB,LDHA,EGFR,ENO2,SMC3,PIK3CG,ITPR2,ACTG1,PIK3R1,CACNA1C,CASP7,ETS2,AP2A1,FANCC,PIK3R1,PPP1CB,SOD1,MAPK1,PIK3CG,ACTG1,ACTG1,ITGB3,PIK3CG,CDC42,DNTT,PRKACA,PHYKPL,SLC2A4,MAPK8,PTGS2,FASLG,PIK3R1,EP300,ADRA1B,PRKCA,RBX1,STX4,TNF,DVL1,GNAI2,GNAI2,SHMT1,POLD2,CCNB1,THBS1,COX5B,BAX,ADCY7,CACNA1C,FBP1,GNG2,PPP3CA,GOT2,ADRA1D,SEC61B,IKBKB,ATP6V0D2,GNG3,DYNLL1,HBA2,RFXAP,ITGB4,SAT2,NFYB
CRKL,TBK1,CHEK1,IKBKB,TNF,MYC,CASP9,ICAM1,TRIM25,PPP1CC,YWHAB,RPS6KA2,AKT1,PIK3CG,PPP3CA,FBXO6,RAC1,CASP9,LAMC1,EGFR,MED12,CASP7,SNRPD2,UBE2L6,CASP8,EGFR,CASP9,RPL10L,CASP9,HIF1A,IKBKB,CCND1,PIK3R3,CBLC,ARAF,CCND1,ACTG1,LYL1,CTSK,CASC3,RAC1,PIK3CG,AKT1,CLDN1,AKT1,PTPRF,RFC5,PPP2R1A,AP2A1,EGFR,RPA2,ICAM1,RELA,CASP8,POLE,CCND3,TUBB6,CCND1,PIK3R1,CDC42,CASP10,RELA,PPP1CC,ICAM1,CAMKK2,SLC2A4,RAC2,AKT1,PPP2CA,CASP8,PSTPIP1,RGS2,RASSF5,ADCY7,STK11,AKT1,TNFSF10,POLE4,PSMD4,EP300,TBK1,CASP8,TBK1,CDH1,ALDOC,EXOSC5,IKBKB,PLD2,HSPD1,CASP3,CDH1,NOTCH4,PPP2R1A,PDHB,NRAS,FGF2,TNF,CACNA1C,SIN3A,PIK3CG,NRAS,PGK1,PIK3CG,ENO3,ADCY7,HK1,PDHB,CDC42,FOXO3,ADCY7,CASP8,MAPK1,CPLX2,BRCA1,FOXO3,PPP1CC,CASP9,IL12A,PLD2,ICAM1,SGCD,ITGB2,SOX2,PPP3CA,POLL,HRAS,KMT2C,PRKCZ,IRAK1,GNAI2,TNF,CSF2RA,PDE4A,ADCY7,FOS,CREB1,VAMP4,ACTB,DVL2,GNG3,RIMS1,PIPOX,RPA1,MAPK8,VTN,COX6A2,MAPK1,PIK3CG,ADRA1B,FBP2,RASD1,GNG3,AMD1,CACNA1C,PLCG1,MAVS,ATP6V1B1,GNG2,RAB11B,TNF,BTK,ITGB3,SAT1,HLA-B
