Node1,Node2,Mean,INT
AASS,CMTM6,0.301664024,Correlation
AASS,NAA50,0.38362792,Correlation
AASS,PHKB,0.468707234,Correlation
AASS,RAP1B,0.336863361,Correlation
AASS,SETD2,0.373256268,Correlation
AASS,STAG2,0.483644616,Correlation
AASS,TCEAL1,0.237919466,Correlation
AASS,TNFAIP3,0.482219151,Correlation
ABCA8,ATM,0.474861507,Correlation
ABCA8,CARD8,0.380109351,Correlation
ABCA8,CCDC90B,0.419460463,Correlation
ABCA8,ERBB4,0.349664987,Correlation
ABCA8,GNA13,0.510390182,Correlation
ABCA8,HEXB,0.59856025,Correlation
ABCA8,JMJD1C,0.468327587,Correlation
ABCA8,KCNAB1,0.533361165,Correlation
ABCA8,KLF6,0.460970157,Correlation
ABCA8,MAN2A1,0.321786792,Correlation
ABCA8,MED8,0.568275515,Correlation
ABCA8,METTL9,0.590003053,Correlation
ABCA8,RIT1,0.403745601,Correlation
ABCA8,SLC26A2,0.433424908,Correlation
ABCA8,SLC35A3,0.479854869,Correlation
ABCA8,SNX11,0.612768813,Correlation
ABCA8,SORBS1,0.404390244,Correlation
ABCA8,TMED10,0.56332238,Correlation
ABCA8,TMEM38B,0.474222122,Correlation
ABCA8,U2SURP,0.45868319,Correlation
ABCA8,WASF1,0.402037097,Correlation
ABCA8,WIPI2,0.412617611,Correlation
ABI1,AKR1B1,0.455713567,Correlation
ABI1,AKR1C1,0.247461933,Correlation
ABI1,ASXL2,0.453446635,Correlation
ABI1,C6orf120,0.315068204,Correlation
ABI1,CBLB,0.283560721,Correlation
ABI1,CDH22,0.318625003,Correlation
ABI1,CLCN6,0.274242261,Correlation
ABI1,CPSF6,0.31865618,Correlation
ABI1,HNRNPA2B1,0.307800043,Correlation
ABI1,LRRC14,0.40438124,Correlation
ABI1,MAP4K3,0.352147623,Correlation
ABI1,MARK3,0.380293735,Correlation
ABI1,MARK4,0.499517884,Correlation
ABI1,NBPF1,0.324946132,Correlation
ABI1,NBR1,0.357347006,Correlation
ABI1,OGT,0.281315517,Correlation
ABI1,RBM5,0.380296991,Correlation
ABI1,RCN2,0.555016879,Correlation
ABI1,SEPT6,0.46428751,Correlation
ABI1,SLC35A3,0.247766131,Correlation
ABI1,TGOLN2,0.374520113,Correlation
ABI1,UPF3B,0.258405529,Correlation
ABI1,USP3,0.401404602,Correlation
ABI1,ZCCHC10,0.47253645,Correlation
ABL1,CLIC4,0.395259642,Correlation
ABL1,GDI1,0.333131446,Correlation
ABL1,HNMT,0.399114537,Correlation
ABL1,ITGA6,0.394948399,Correlation
ABL1,PIGA,0.43203429,Correlation
ABL1,REL,0.500989881,Correlation
ABL1,SENP7,0.334032975,Correlation
ABL1,SOCS2,0.564330069,Correlation
ADAM17,CEBPZ,0.345920937,Correlation
ADAM17,PABPC1,0.464350532,Correlation
ADAM17,TBC1D2B,0.327984954,Correlation
ADAM17,ZNF292,0.519961009,Correlation
ADAMTS1,AKR1B1,0.474708553,Correlation
ADAMTS1,CBLB,0.255460022,Correlation
ADAMTS1,CCDC90B,0.450026718,Correlation
ADAMTS1,CEP57,0.412029898,Correlation
ADAMTS1,CXorf56,0.538878955,Correlation
ADAMTS1,ENPP2,0.471406502,Correlation
ADAMTS1,HEATR3,0.278231846,Correlation
ADAMTS1,HMGN4,0.53983775,Correlation
ADAMTS1,METTL9,0.423924629,Correlation
ADAMTS1,NCOA6,0.410247043,Correlation
ADAMTS1,PIGA,0.447456439,Correlation
ADAMTS1,PROSER1,0.440224148,Correlation
ADAMTS1,SH3GLB1,0.48714645,Correlation
ADAMTS1,SLC26A2,0.531195464,Correlation
ADAMTS1,STRN3,0.604466346,Correlation
ADAMTS1,TCF12,0.496094547,Correlation
ADAMTS1,TMEM38B,0.402484988,Correlation
ADAMTS1,TPP1,0.52768411,Correlation
ADAMTS1,UPF3B,0.358226305,Correlation
ADAMTS1,YY1AP1,0.212177949,Correlation
ADAMTS1,ZCCHC10,0.301739772,Correlation
ADAMTS1,ZCCHC8,0.550628237,Correlation
ADNP,BCLAF1,0.409097138,Correlation
ADNP,ENPP2,0.586650922,Correlation
ADNP,LRRC14,0.521340588,Correlation
ADNP,NBPF1,0.408575738,Correlation
ADNP,NCOA6,0.377637054,Correlation
ADNP,R3HCC1,0.560995296,Correlation
ADNP,RCN2,0.523189917,Correlation
ADNP,REL,0.474654349,Correlation
ADNP,RPRD1A,0.306638296,Correlation
ADNP,SSBP3,0.343659772,Correlation
ADNP,USP3,0.441657064,Correlation
AGO3,CBLB,0.483921654,Correlation
AGO3,CDIPT,0.434782549,Correlation
AGO3,CRLF3,0.421429469,Correlation
