Entity 1	Entity 2	Weight	Network group	Networks
ALDOA	TPI1	0.109960258	Co-expression	"[Bahr-Bowler-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
POGZ	NKTR	0.067973242	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
GMPPA	GMPPB	0.061882554	Co-expression	"[Innocenti-Brown-2011, Kang-Willman-2010, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
AKR1B1	AKR1B10	0.058075242	Co-expression	"[Bild-Nevins-2006 B, Innocenti-Brown-2011]"
TARDBP	PRPF3	0.057594382	Co-expression	"[Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
SF3B1	NKTR	0.054556234	Co-expression	"[Bahr-Bowler-2013, Kang-Willman-2010, Roth-Zlotnik-2006]"
KHK	ALDOB	0.053652122	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Mallon-McKay-2013, Roth-Zlotnik-2006]"
ALDOC	PFKP	0.052403935	Co-expression	"[Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
HK2	PFKFB4	0.0486029	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Mallon-McKay-2013]"
FBP1	ALDOB	0.047641362	Co-expression	"[Chen-Brown-2002, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
RPL37	RPL35A	0.047346577	Co-expression	"[Bahr-Bowler-2013, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ALDOA	ALDOC	0.046348652	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
HK2	MPI	0.045394829	Co-expression	"[Mallon-McKay-2013, Rieger-Chu-2004, Wang-Maris-2006]"
ALDOC	MPI	0.044072475	Co-expression	"[Gysin-McMahon-2012, Rieger-Chu-2004, Salaverria-Siebert-2011]"
PPP2CA	PFDN1	0.042468904	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012, Salaverria-Siebert-2011]"
MXI1	RAB40B	0.042268619	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011]"
PFKL	TSTA3	0.040531358	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003]"
CST3	JAG1	0.039075797	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012]"
SPARC	CDH11	0.038552587	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Chen-Brown-2002, Mallon-McKay-2013, Salaverria-Siebert-2011]"
CREG1	SORD	0.038101688	Co-expression	"[Rieger-Chu-2004, Smirnov-Cheung-2009]"
CSRP1	TPI1	0.037431354	Co-expression	"[Bahr-Bowler-2013, Cheok-Evans-2003]"
SPARC	TCF4	0.036864516	Co-expression	"[Chen-Brown-2002, Gysin-McMahon-2012, Innocenti-Brown-2011]"
ALDOC	TPI1	0.036065921	Co-expression	"[Rieger-Chu-2004, Salaverria-Siebert-2011]"
TSTA3	PMM2	0.035252774	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
MXI1	BBIP1	0.034724777	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Wang-Maris-2006]"
BGN	DCN	0.034434306	Co-expression	"[Gysin-McMahon-2012, Perou-Botstein-1999, Salaverria-Siebert-2011]"
SPARC	ANXA1	0.033542957	Co-expression	"[Kang-Willman-2010, Perou-Botstein-1999]"
SORD	HK2	0.032824454	Co-expression	"[Burington-Shaughnessy-2008, Kang-Willman-2010]"
BPTF	MTMR1	0.030958354	Co-expression	"[Bild-Nevins-2006 B, Chen-Brown-2002]"
ACTN1	CST3	0.029663928	Co-expression	"[Ramaswamy-Golub-2001, Rieger-Chu-2004, Smirnov-Cheung-2009]"
SPARC	BGN	0.028881903	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Salaverria-Siebert-2011, Wang-Maris-2006]"
SPARC	KCTD12	0.028489912	Co-expression	"[Alizadeh-Staudt-2000, Mallon-McKay-2013, Roth-Zlotnik-2006]"
