Gene.Symbol,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL
ATG10,33.1375201158333,34.0716890299815,31.8789538087747,51.6477280739342,54.0780428484403,55.1269519780886,46.454302301951,49.557548098034,56.7194283764521,50.9795859877446
KNSTRN,138.992421780282,140.092421780282,124.399706192659,88.5991598133613,88.5145752168776,80.5607596320028,84.5032934756982,84.5119327240735,95.3222104156832,88.0770677694032
CLCN5,25.4949930470769,22.8536459042154,24.4180239183901,61.5355230773019,44.8975701263732,58.0811583577516,39.1196876111215,56.7623397839631,61.2636328897066,46.6585434018111
AFF4,59.7564524965578,52.9035616808962,48.2227236809142,115.138496423891,116.292421785172,129.581027566236,81.1925902946521,94.8636145179928,98.157326544842,87.7364180401553
CEP72,30.3690951448266,30.2877761518996,29.8690313651731,22.3254692186384,22.2471311937445,23.0195893652058,23.2226585275319,21.8938570090227,21.2354835535689,22.8564335203474
DCP2,37.9364215018702,40.0529576814649,40.5955621909153,57.883026638637,53.2239712881138,55.3559633911954,60.1734738080352,65.7467195309183,52.4959938895946,61.0916658470154
ABCG1,43.9643330127761,59.0045396204357,58.5084927401491,167.550086208467,167.060652882829,77.3803701928864,131.432440959317,126.881682817891,120.632026878996,113.476152975216
ANKRD20A12P,66.1313791146035,55.725395154308,69.9486657813104,36.2718327478385,43.3146077311422,40.7884479644201,47.2635025897164,42.9637581772652,44.4692525533902,43.0204197644559
PRSS23,813.092421780282,1166.80534322328,638.221006063924,358.063778106644,435.019556368706,289.852866720954,260.279756214725,366.620545182386,531.050890634364,355.727947964057
LTBR,15.2300413740476,13.8876330454121,14.3104355810615,10.3792524256273,10.1698100429572,10.6129164084543,11.792107669656,10.7971545993312,11.0203656631519,9.55939274510511
VPS8,13.8821849576911,21.6532300823909,23.7954514355402,32.2639305563651,35.2449697584238,37.0050505356313,29.5388818661124,33.4268762895828,29.052131474745,35.5111572088647
GABPB1-AS1,133.218069772315,150.603107566696,146.226367773301,219.761042531099,221.361898692689,242.672894920298,172.898360233984,199.644825285459,198.457913377251,195.228447954453
PLA2G4C,19.9319103162114,18.0654871174626,17.2586668935933,24.7289059385041,23.0286781004016,30.2607889350404,23.8538937713759,26.592222968733,28.2161148630871,25.4899959750606
COA7,72.6144360945384,76.5341115450313,76.4424126267078,95.893602762175,107.022243580813,101.656392016983,108.714151885905,103.547355103836,119.436413526123,90.4009099052179
SNRPE,736.692421780283,689.102849326881,661.823394342518,928.87627257805,856.988353720658,933.078273590262,935.368045102885,855.734284346365,876.639104602708,898.654559417712
