Int,C9,sALS,FTLD,VCP,PET,RAV,corMean,Gene1,Gene2
PSMC6 (interacts with) AGTPBP1,0.666666667,0.892857143,0.85,0.535714286,0.696078431,0.686813187,0.721354952,PSMC6,AGTPBP1
PAFAH1B1 (interacts with) ANK2,0.523809524,0.785714286,0.776470588,0.642857143,0.924019608,0.928571429,0.763573763,PAFAH1B1,ANK2
NDFIP1 (interacts with) ARL1,0.797921501,0.75,0.926470588,0.678571429,0.960784314,0.631868132,0.790935994,NDFIP1,ARL1
PJA2 (interacts with) ARL1,0.540131478,0.75,0.882352941,0.892857143,0.965686275,0.774725275,0.800958852,PJA2,ARL1
PSMC6 (interacts with) ARL1,0.77337007,0.714285714,0.720588235,0.714285714,0.862745098,0.527472527,0.718791227,PSMC6,ARL1
TAX1BP1 (interacts with) ARL1,0.77337007,0.642857143,0.776470588,0.607142857,0.870098039,0.631868132,0.716967805,TAX1BP1,ARL1
YWHAQ (interacts with) ARL1,0.895334696,0.75,0.576470588,0.642857143,0.843137255,0.576923077,0.71412046,YWHAQ,ARL1
ARMC1 (interacts with) ATP6V1A,0.642857143,0.928571429,0.826470588,0.714285714,0.862745098,0.78021978,0.792524959,ARMC1,ATP6V1A
CDC123 (interacts with) ATP6V1A,0.571428571,0.857142857,0.797058824,0.607142857,0.835784314,0.571428571,0.706664332,CDC123,ATP6V1A
SARAF (interacts with) ATP6V1A,0.928571429,0.964285714,0.873529412,0.678571429,0.850490196,0.851648352,0.857849422,SARAF,ATP6V1A
RSL1D1 (interacts with) BASP1,0.69047619,0.821428571,0.835294118,0.642857143,0.607843137,0.571428571,0.694887955,RSL1D1,BASP1
RNF11 (interacts with) BCAS2,0.55090808,0.964285714,0.720588235,0.714285714,0.899509804,0.785714286,0.772548639,RNF11,BCAS2
ARMC1 (interacts with) CDC42,0.595238095,0.535714286,0.797058824,0.928571429,0.710784314,0.67032967,0.706282769,ARMC1,CDC42
ANKMY2 (interacts with) COPS2,0.802409595,0.857142857,0.679411765,0.928571429,0.509803922,0.571428571,0.72479469,ANKMY2,COPS2
ARMC1 (interacts with) CUL1,0.867532847,0.75,0.876470588,0.607142857,0.87745098,0.664835165,0.773905406,ARMC1,CUL1
NECAP1 (interacts with) CYFIP2,0.785714286,0.785714286,0.926470588,0.785714286,0.870098039,0.675824176,0.80492261,NECAP1,CYFIP2
COPS3 (interacts with) DLG2,0.761904762,0.964285714,0.717647059,0.535714286,0.605392157,0.747252747,0.722032787,COPS3,DLG2
ALAS1 (interacts with) DYNLT3,0.514979293,0.964285714,0.614705882,0.535714286,0.666666667,0.615384615,0.651956076,ALAS1,DYNLT3
PSMC6 (interacts with) EPS15,0.50300303,0.892857143,0.867647059,0.571428571,0.779411765,0.620879121,0.705871115,PSMC6,EPS15
STK39 (interacts with) EPS15,0.538931818,0.892857143,0.764705882,0.607142857,0.911764706,0.653846154,0.728208093,STK39,EPS15
TBK1 (interacts with) EPS15,0.874267171,0.857142857,0.770588235,0.785714286,0.74754902,0.593406593,0.771444694,TBK1,EPS15
FURIN (interacts with) GNAI2,0.638144902,0.821428571,0.594117647,0.535714286,0.620098039,0.785714286,0.665869622,FURIN,GNAI2
ZFPM2 (interacts with) HERC1,0.73565212,0.714285714,0.805882353,0.785714286,0.629901961,0.60989011,0.713554424,ZFPM2,HERC1
CHCHD2 (interacts with) HINT1,0.874267171,0.576599976,0.932352941,0.857142857,0.700980392,0.653846154,0.765864915,CHCHD2,HINT1
GOT1 (interacts with) HINT1,0.813253012,0.576599976,0.952941176,0.535714286,0.534313725,0.846153846,0.709829337,GOT1,HINT1
RPA3 (interacts with) HINT1,0.718575757,0.612637475,0.894117647,0.571428571,0.595588235,0.703296703,0.682607398,RPA3,HINT1
DYNLT3 (interacts with) HPRT1,0.904761905,0.964285714,0.767647059,0.821428571,0.637254902,0.93956044,0.839156432,DYNLT3,HPRT1
MAGED1 (interacts with) HPRT1,0.547619048,0.964285714,0.841176471,0.785714286,0.781862745,0.637362637,0.75967015,MAGED1,HPRT1
PSMC6 (interacts with) KIF3A,0.666666667,0.892857143,0.873529412,0.964285714,0.776960784,0.642857143,0.802859477,PSMC6,KIF3A
SARAF (interacts with) KIF3A,0.785714286,0.857142857,0.876470588,0.892857143,0.823529412,0.604395604,0.806684982,SARAF,KIF3A
CDC123 (interacts with) MAPRE2,0.585540044,0.785714286,0.620588235,0.642857143,0.769607843,0.642857143,0.674527449,CDC123,MAPRE2
NECAP1 (interacts with) MRPL9,0.738095238,0.928571429,0.591176471,0.571428571,0.671568627,0.642857143,0.690616246,NECAP1,MRPL9
SPI1 (interacts with) MYH9,0.731925055,1,0.723529412,0.607142857,0.676470588,0.697802198,0.739478352,SPI1,MYH9
GNG3 (interacts with) NDEL1,0.610789394,0.75,0.911764706,0.964285714,0.860294118,0.664835165,0.793661516,GNG3,NDEL1
SH3GL2 (interacts with) NELL1,0.658694444,0.857142857,0.923529412,0.607142857,0.651960784,0.752747253,0.741869601,SH3GL2,NELL1
GORASP2 (interacts with) NLK,0.833333333,0.892857143,0.652941176,0.75,0.539215686,0.565934066,0.705713567,GORASP2,NLK
RTCA (interacts with) NPEPPS,0.538931818,0.857142857,0.505882353,0.571428571,0.681372549,0.813186813,0.66132416,RTCA,NPEPPS
ANKMY2 (interacts with) PAFAH1B1,0.586836868,0.857142857,0.8,0.571428571,0.855392157,0.785714286,0.742752457,ANKMY2,PAFAH1B1
ARMC1 (interacts with) PAFAH1B1,0.738095238,0.75,0.858823529,0.785714286,0.921568627,0.549450549,0.767275372,ARMC1,PAFAH1B1
ARMC1 (interacts with) PCMT1,0.666666667,0.857142857,0.767647059,0.928571429,0.757352941,0.587912088,0.760882173,ARMC1,PCMT1
BCAS2 (interacts with) PCMT1,0.658694444,0.892857143,0.829411765,0.857142857,0.81127451,0.620879121,0.77837664,BCAS2,PCMT1
MORF4L1 (interacts with) PCMT1,0.761904762,0.821428571,0.829411765,0.607142857,0.651960784,0.725274725,0.732853911,MORF4L1,PCMT1
PSMC6 (interacts with) PCMT1,0.904761905,0.964285714,0.844117647,0.964285714,0.884803922,0.78021978,0.890412447,PSMC6,PCMT1
RAN (interacts with) PCMT1,0.694623232,0.821428571,0.932352941,0.607142857,0.779411765,0.912087912,0.791174546,RAN,PCMT1
SARAF (interacts with) PCMT1,0.761904762,1,0.770588235,0.892857143,0.93627451,0.664835165,0.837743302,SARAF,PCMT1
ARMC1 (interacts with) PDHB,0.904761905,0.928571429,0.6,0.785714286,0.723039216,0.725274725,0.777893593,ARMC1,PDHB
PSMC6 (interacts with) PDHB,0.595238095,0.892857143,0.717647059,0.535714286,0.784313725,0.626373626,0.692023989,PSMC6,PDHB
