No C9,No CHMP2B,No sALS,No FTLD,No VCP,No Petrucelli,No Ravits
RPL19,AQP1,TUG1,TUG1,RALGDS,TUG1,TUG1
CSRP1,TUG1,CSRP1,CSRP1,TUG1,STOM,UPF3A
NACA,FAM175B,FAM129A,YBX3,RCN1,FAM107A,RBM15
PLEKHB1,NAV2,PLOD2,PLOD2,CSRP1,HLA-DMB,CSRP1
RPL36AL,CSRP1,MTRF1,SPIN3,PLOD2,FBXO9,ETS2
CST3,ZBTB20,SPARC,SPARC,LDOC1,SDC4,PLOD2
SERBP1,VCL,CST3,CST3,SH3BGRL,CSRP1,TMEM97
NKTR,CRY1,TUBB4B,LPL,SPARC,PLOD2,SPARC
TUBB4B,PLOD2,JAG1,TUBB4B,ZNF506,SPARC,CST3
ACTA2,SPARC,BGN,JAG1,AQP4,WASL,KLC1
ANXA1,CST3,KCTD12,TUBG2,CST3,CST3,TUBB4B
BPTF,GGPS1,NKTR,BGN,TUBB4B,TMEM243,JAG1
DCN,TUBB4B,MCMBP,KCTD12,MCL1,TUBB4B,CNOT1
PFDN1,CD83,ACTN1,NKTR,JAG1,VAMP3,STAT3
ARHGAP29,KIF2A,NUTF2,ACTN1,RPL32,PSAP,BGN
PPP1R7,JAG1,BPTF,NUTF2,CBR4,JAG1,KCTD12
KCTD12,CREB3L2,HMOX2,COL4A1,BGN,ROBO1,NKTR
TARDBP,ATP2C1,PFDN1,CDKN1A,TBC1D2B,CAMKK2,ACTN1
CTBP1,BGN,RPL37,RABIF,KCTD12,PHACTR2,RGS2
CAMSAP1,KCTD12,OTUB1,BPTF,NKTR,LAMP2,NUTF2
JAG1,NKTR,CRYL1,PLCB4,L3MBTL1,PCNA,HBB
TTF2,CTDSP2,TARDBP,PFDN1,ROCK1,DMD,H2AFV
TCF4,PTDSS1,AGPAT5,HSPA4,ACTN1,RPS16,UBE2L3
MPHOSPH9,ACTN1,PLEKHB1,RPL37,NUTF2,PON2,BPTF
STMN1,NUTF2,SERBP1,ERH,ANGPT1,UTRN,PRKD1
TUG1,CSNK1G2,FUT8,OTUB1,CDH11,BGN,LPIN1
OTUB1,PSMD12,STMN1,DDX17,DAZAP2,KCTD12,GSTO1
RAB40B,BPTF,ADAMTS1,HSPD1,BPTF,NKTR,PFDN1
GBAS,ZBTB5,PRPF3,TARDBP,CCNG1,MAP3K13,RPL37
CYP1B1,PFDN1,NDUFS5,PLEKHB1,PFDN1,ACTN1,PLEKHM1
NUTF2,RPL37,SNX27,PSMD6,CEBPZ,NUTF2,OTUB1
PLOD2,KIAA1109,TCF4,SERBP1,RPL37,TMEM47,TARDBP
RPL37,TMED10,ZFYVE26,STMN1,PPFIA1,RPS6,PLEKHB1
SP110,OTUB1,HCFC1R1,ALPK1,OTUB1,APC,SERBP1
KPNA6,PPP2CA,ZFP36,YLPM1,TARDBP,XPO6,TARS
ALDH7A1,TARDBP,KPNA6,PRPF3,PLEKHB1,TUBB,PAICS
ZFP36,PLEKHB1,FAM46A,C1orf61,SERBP1,WWP1,STMN1
NDUFS5,SERBP1,DCN,NDUFS5,TBCB,MCAM,CDK16
CAMK2B,MEST,SCN1B,TCF4,SRSF11,ANXA5,PRPF3
SPARC,FH,MPHOSPH9,ZFYVE26,STMN1,BPTF,SYNM
GPNMB,STMN1,RPL35A,ZFP36,NR2F2,SUCLG2,C14orf1
HSP90AB1,SFPQ,ZNF518A,VTI1B,LTBP1,PFDN1,ZNF654
FAM214B,CTNNB1,PTPN13,KPNA6,PRPF3,COPS7A,NDUFS5
PRPF3,PRPF3,RAB40B,DCN,RAP1B,RPL37,TCF4
SCN1B,NUDCD3,POGZ,SCN1B,KLF6,CELF1,ZFYVE26
ACTN1,RBM5,PPP1R7,PHLDB2,TUSC2,AGT,ZFP36
ZNF518A,HPRT1,TAOK3,MPHOSPH9,NDUFS5,OTUB1,FBXL14
BGN,SEPHS1,THADA,CEP57,TCF4,WDR7,KPNA6
ZFYVE26,NDUFS5,GBAS,EXT2,LPAR1,TARDBP,IGF2R
PTPN13,TCF4,RBMS3,PSMB6,CEMIP,PLEKHB1,DCN
,ZFYVE26,EOGT,ZNF518A,ZFYVE26,SERBP1,TERF2IP
,ZFP36,ANXA1,PTPN13,ZFP36,TCF25,UBN1
