Symbol	Description	Score	Functions	Links
NDUFS5		0.9374873134659061		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4725
PLEKHB1		0.9276560791083299		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=58473
BBIP1		0.9220543210416603		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=92482
DCN		0.9187579352084019	extracellular matrix organization, extracellular structure organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1634
RPL35A		0.9186990592590182	mRNA catabolic process, nuclear-transcribed mRNA catabolic process, RNA catabolic process, viral life cycle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6165
RAB40B		0.9135697452759237		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10966
VPS13B		0.9104395873556708		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=157680
JAG1		0.8961620930033982	cell surface receptor signaling pathway involved in heart development, endocardial cushion development, Notch receptor processing	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=182
KPNA6		0.8960081645896576	nuclear transport, nucleocytoplasmic transport	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23633
MPHOSPH9		0.8954470906129308		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10198
NKTR		0.8911949445379406		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4820
ZNF518A		0.8873880200786216		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9849
ZFYVE26		0.88361570195481		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23503
CDH11		0.8822672838686347		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1009
PTPN13		0.8762880283250558		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5783
PPP1R7		0.874860660735724		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5510
STMN1		0.8733397579598869		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3925
