Gene 1	Gene 2	Weight	Network group	Network
TARDBP	FUS	0.051138733	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	PABPC1	0.02501695	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	SQSTM1	0.016513586	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	HNRNPA1	0.015707098	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VCP	RNF19A	0.027492585	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VCP	TARDBP	0.015609276	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VEGFA	KDR	0.8716346	Physical interactions	IREF-MATRIXDB
APOE	CNTF	0.98072976	Physical interactions	IREF-BIND
VEGFA	KDR	0.22830053	Physical interactions	IREF-BIND
SOD1	CCS	0.7962252	Physical interactions	IREF-BIND
DCTN1	ZNF512B	0.019351771	Physical interactions	IREF-BIND
SMN1	PFN1	0.3622525	Physical interactions	IREF-BIND
SMN1	PFN1	0.70710677	Physical interactions	IREF-MPPI
CHGB	OGG1	0.157879	Physical interactions	IREF-OPHID
ATXN2	CHGB	0.32531393	Physical interactions	IREF-OPHID
APOE	MAPT	0.060424272	Physical interactions	IREF-OPHID
VEGFA	KDR	0.05829038	Physical interactions	IREF-OPHID
SOD1	CCS	0.10998664	Physical interactions	IREF-OPHID
SOD1	GARS	0.011991756	Physical interactions	IREF-OPHID
LMNB1	PRPH	0.16165687	Physical interactions	IREF-OPHID
DCTN1	ZNF512B	0.014999772	Physical interactions	IREF-OPHID
TUBA4A	DCTN1	0.045369506	Physical interactions	IREF-OPHID
EWSR1	AGT	0.010684507	Physical interactions	IREF-OPHID
PABPC1	GARS	0.012910848	Physical interactions	IREF-OPHID
PABPC1	SOD1	0.008009847	Physical interactions	IREF-OPHID
PSEN1	MAPT	0.033289537	Physical interactions	IREF-OPHID
MAPT	SLC1A2	0.080649786	Physical interactions	IREF-SMALL-SCALE-STUDIES
APOE	CNTF	0.10752452	Physical interactions	IREF-SMALL-SCALE-STUDIES
APOE	MAPT	0.016333792	Physical interactions	IREF-SMALL-SCALE-STUDIES
EPHA4	VAPB	0.050874546	Physical interactions	IREF-SMALL-SCALE-STUDIES
VEGFA	KDR	0.01728482	Physical interactions	IREF-SMALL-SCALE-STUDIES
SOD1	CCS	0.1081417	Physical interactions	IREF-SMALL-SCALE-STUDIES
SOD1	RNF19A	0.04541307	Physical interactions	IREF-SMALL-SCALE-STUDIES
SOD1	CHGB	0.19949277	Physical interactions	IREF-SMALL-SCALE-STUDIES
SOD1	PARK7	0.014412874	Physical interactions	IREF-SMALL-SCALE-STUDIES
LMNB1	PRPH	0.11607519	Physical interactions	IREF-SMALL-SCALE-STUDIES
DCTN1	MAPT	0.0097036045	Physical interactions	IREF-SMALL-SCALE-STUDIES
OPTN	SOD1	0.021607755	Physical interactions	IREF-SMALL-SCALE-STUDIES
TUBA4A	MAPT	0.009861206	Physical interactions	IREF-SMALL-SCALE-STUDIES
TUBA4A	DCTN1	0.012717838	Physical interactions	IREF-SMALL-SCALE-STUDIES
FUS	ARHGEF28	0.07177158	Physical interactions	IREF-SMALL-SCALE-STUDIES
APEX1	DCTN1	0.015944168	Physical interactions	IREF-SMALL-SCALE-STUDIES
TBK1	OPTN	0.020436082	Physical interactions	IREF-SMALL-SCALE-STUDIES
PABPC1	ATXN2	0.020544756	Physical interactions	IREF-SMALL-SCALE-STUDIES
SQSTM1	ARHGEF28	0.02858925	Physical interactions	IREF-SMALL-SCALE-STUDIES
SQSTM1	GRB14	0.014906124	Physical interactions	IREF-SMALL-SCALE-STUDIES
SQSTM1	CHMP2B	0.014923225	Physical interactions	IREF-SMALL-SCALE-STUDIES
SQSTM1	MAPT	0.0049596485	Physical interactions	IREF-SMALL-SCALE-STUDIES
SQSTM1	SOD1	0.0073826313	Physical interactions	IREF-SMALL-SCALE-STUDIES
SQSTM1	FUS	0.008207327	Physical interactions	IREF-SMALL-SCALE-STUDIES
PSEN1	MAPT	0.0067547318	Physical interactions	IREF-SMALL-SCALE-STUDIES
SMN1	PFN1	0.01532336	Physical interactions	IREF-SMALL-SCALE-STUDIES
SMN1	EWSR1	0.012782761	Physical interactions	IREF-SMALL-SCALE-STUDIES
HNRNPA2B1	SMN1	0.013953698	Physical interactions	IREF-SMALL-SCALE-STUDIES
AR	KIFAP3	0.010551088	Physical interactions	IREF-SMALL-SCALE-STUDIES
AR	PARK7	0.0035121462	Physical interactions	IREF-SMALL-SCALE-STUDIES
HNRNPA1	LMNB1	0.008706871	Physical interactions	IREF-SMALL-SCALE-STUDIES
HNRNPA1	EWSR1	0.0103035215	Physical interactions	IREF-SMALL-SCALE-STUDIES
HNRNPA1	PABPC1	0.0045398064	Physical interactions	IREF-SMALL-SCALE-STUDIES
HNRNPA1	SMN1	0.0034852913	Physical interactions	IREF-SMALL-SCALE-STUDIES
TARDBP	ARHGEF28	0.12985976	Physical interactions	IREF-SMALL-SCALE-STUDIES
TARDBP	ATXN2	0.062296197	Physical interactions	IREF-SMALL-SCALE-STUDIES
TARDBP	UBQLN2	0.05358739	Physical interactions	IREF-SMALL-SCALE-STUDIES
TARDBP	FUS	0.037279796	Physical interactions	IREF-SMALL-SCALE-STUDIES
TARDBP	SQSTM1	0.01484991	Physical interactions	IREF-SMALL-SCALE-STUDIES
TARDBP	HNRNPA1	0.013765685	Physical interactions	IREF-SMALL-SCALE-STUDIES
VCP	RNF19A	0.020553997	Physical interactions	IREF-SMALL-SCALE-STUDIES
VCP	TARDBP	0.015177436	Physical interactions	IREF-SMALL-SCALE-STUDIES
CHGB	OGG1	0.15498629	Physical interactions	IREF-HPRD
ATXN2	CHGB	0.033187807	Physical interactions	IREF-HPRD
APOE	CNTF	0.12909527	Physical interactions	IREF-HPRD
APOE	MAPT	0.029985461	Physical interactions	IREF-HPRD
VEGFA	KDR	0.025375197	Physical interactions	IREF-HPRD
SOD1	CCS	0.5922524	Physical interactions	IREF-HPRD
SOD1	RNF19A	0.1110274	Physical interactions	IREF-HPRD
LMNB1	PRPH	0.14392309	Physical interactions	IREF-HPRD
TUBA4A	MAPT	0.0131801665	Physical interactions	IREF-HPRD
APEX1	DCTN1	0.033237003	Physical interactions	IREF-HPRD
EWSR1	AGT	0.008378019	Physical interactions	IREF-HPRD
PABPC1	ATXN2	0.029935913	Physical interactions	IREF-HPRD
SQSTM1	GRB14	0.05885815	Physical interactions	IREF-HPRD
PSEN1	MAPT	0.012843643	Physical interactions	IREF-HPRD
VCP	RNF19A	0.048596855	Physical interactions	IREF-HPRD
CHGB	OGG1	0.10007421	Physical interactions	IREF-INTACT
ATXN2	CHGB	0.025448052	Physical interactions	IREF-INTACT
MAPT	SLC1A2	0.30143484	Physical interactions	IREF-INTACT
EPHA4	VAPB	0.43261302	Physical interactions	IREF-INTACT
VEGFA	KDR	0.08555708	Physical interactions	IREF-INTACT
SOD1	CHGB	0.04297916	Physical interactions	IREF-INTACT
DCTN1	MAPT	0.025286945	Physical interactions	IREF-INTACT
DCTN1	ZNF512B	0.0122896815	Physical interactions	IREF-INTACT
FUS	TAF15	0.14365305	Physical interactions	IREF-INTACT
DISC1	KIFAP3	0.024536174	Physical interactions	IREF-INTACT
DISC1	MATR3	0.014960031	Physical interactions	IREF-INTACT
DISC1	DCTN1	0.007585009	Physical interactions	IREF-INTACT
TBK1	OPTN	0.008378667	Physical interactions	IREF-INTACT
DYNC1H1	DISC1	0.012291495	Physical interactions	IREF-INTACT
EWSR1	AGT	0.017675377	Physical interactions	IREF-INTACT
EWSR1	FUS	0.0061147227	Physical interactions	IREF-INTACT
PABPC1	ATXN2	0.025872216	Physical interactions	IREF-INTACT
SQSTM1	SOD1	0.0440755	Physical interactions	IREF-INTACT
PSEN1	APOE	0.030550431	Physical interactions	IREF-INTACT
AR	PARK7	0.033827253	Physical interactions	IREF-INTACT
VCP	OPTN	0.012144608	Physical interactions	IREF-INTACT
SQSTM1	PABPC1	0.027452368	Physical interactions	Nakayasu-Adkins-2013
VCP	SQSTM1	0.037839454	Physical interactions	Nakayasu-Adkins-2013
