Lysine degradation (KEGG),ABC transporters (KEGG),Prion diseases (KEGG),Ganglio Sphingolipid Metabolism (Wikipathways),Biogenic Amine Synthesis (Wikipathways),Signaling by Insulin receptor (Reactome),"{ESR1,24} (Static Module)","{SPTAN1,10} (Static Module)"
ACAT1,ABCA1,BAX,FUT1,AANAT,AKT2,CRHBP,ADD1
ACAT2,ABCA2,C1QA,B4GALNT1,ACHE,ATP6V1A,CRYZ,ADD2
ALDH2,ABCA3,C1QB,ST3GAL1,ASMT,ATP6V1B1,CYP1B1,PLEC
ALDH1B1,ABCB7,C1QC,ST3GAL2,CHAT,ATP6V1B2,ESR1,SPTA1
ALDH9A1,ABCA4,C5,ST8SIA1,COMT,ATP6V0C,ESR2,SPTAN1
ALDH3A2,ABCD1,C6,B3GALT4,DBH,ATP6V1C1,ESRRG,SPTB
ALDH7A1,ABCD2,C7,ST3GAL5,DDC,ATP6V1E1,FLII,SPTBN1
DLST,ABCC6,C8A,SLC33A1,GAD1,ATP6V0B,SERPINB9,SPTBN2
ECHS1,CFTR,C8B,ST8SIA5,GAD2,ATP6V1G2,STRN,SPTBN5
EHHADH,ABCC2,C8G,ST6GALNAC6,HDC,ATP6V0A1,THRA,SPTBN4
GCDH,ABCC1,C9,,MAOA,CDK1,TIMP4,
HADHA,ABCB1,EGR1,,PAH,CRK,XBP1,
HADH,ABCB4,ELK1,,PNMT,DOK1,PRDM2,
KMT2A,ABCD3,FYN,,TH,EIF4B,PRRC2A,
OGDH,ABCD4,HSPA1A,,TPH1,EIF4E,WISP2,
PLOD1,ABCC8,HSPA5,,,EIF4EBP1,TRIP11,
PLOD2,TAP1,IL1A,,,EIF4G1,SAFB2,
SETMAR,TAP2,IL1B,,,FGF1,PHB2,
SUV39H1,ABCB11,IL6,,,FGF2,ATF6,
WHSC1,ABCC3,LAMC1,,,FGF3,REXO4,
KMT2D,ABCG2,NCAM1,,,FGF4,ZNF398,
BBOX1,ABCG1,NCAM2,,,FGF5,DDX54,
PLOD3,ABCC5,NOTCH1,,,FGF6,PPARGC1B,
SETD1A,ABCB6,PRKACA,,,FGF7,NCOA7,
KMT2B,ABCC9,PRKACB,,,FGF8,,
SETDB1,ABCC4,PRKACG,,,FGF9,,
AASS,ABCA7,MAPK1,,,FGF10,,
EHMT2,ABCA9,MAPK3,,,FGFR1,,
SETD1B,ABCA8,MAP2K1,,,FGFR3,,
COLGALT2,ABCB8,MAP2K2,,,FGFR2,,
SETD2,ABCB10,PRKX,,,FGFR4,,
SUV420H1,ABCB9,PRNP,,,MTOR,,
AADAT,ABCA6,CCL5,,,GAB1,,
PIPOX,ABCA5,SOD1,,,GRB2,,
WHSC1L1,ABCA12,STIP1,,,GRB10,,
TMLHE,ABCG4,,,,HRAS,,
OGDHL,ABCG5,,,,INS,,
ASH1L,ABCG8,,,,INSR,,
KMT2E,ABCC11,,,,IRS1,,
KMT2C,ABCC10,,,,KRAS,,
NSD1,ABCC12,,,,NRAS,,
COLGALT1,ABCA13,,,,PDE3B,,
SUV39H2,ABCB5,,,,PDPK1,,
EHMT1,,,,,PIK3C3,,
SETD7,,,,,PIK3CA,,
SETDB2,,,,,PIK3CB,,
DOT1L,,,,,PIK3R1,,
SUV420H2,,,,,PIK3R2,,
SETD8,,,,,PPM1A,,
,,,,,PRKAA1,,
,,,,,PRKAA2,,
,,,,,PRKAB1,,
,,,,,PRKAB2,,
,,,,,PRKAG1,,
,,,,,MAPK1,,
,,,,,MAPK3,,
,,,,,MAP2K1,,
,,,,,MAP2K2,,
,,,,,PTPN11,,
,,,,,RAF1,,
,,,,,RHEB,,
,,,,,RPS6,,
,,,,,RPS6KB1,,
,,,,,SHC1,,
,,,,,SOS1,,
,,,,,STK11,,
,,,,,TSC1,,
,,,,,TSC2,,
,,,,,YWHAB,,
,,,,,FGF23,,
,,,,,IRS2,,
,,,,,FGF18,,
,,,,,FGF17,,
,,,,,FGF16,,
,,,,,ATP6V0E1,,
,,,,,ATP6V0D1,,
,,,,,ATP6V1F,,
,,,,,KL,,
,,,,,ATP6V1G1,,
,,,,,FGF19,,
,,,,,TCIRG1,,
,,,,,FRS2,,
,,,,,ATP6V0A2,,
,,,,,SHC2,,
,,,,,FGF20,,
,,,,,FGF22,,
,,,,,EEF2K,,
,,,,,PIK3R4,,
,,,,,ATP6V0A4,,
,,,,,ATP6V1D,,
,,,,,PRKAG2,,
,,,,,ATP6V1H,,
,,,,,CAB39,,
,,,,,SHC3,,
,,,,,PRKAG3,,
,,,,,TLR9,,
,,,,,STRADB,,
,,,,,RPTOR,,
,,,,,TRIB3,,
,,,,,MLST8,,
,,,,,CAB39L,,
,,,,,ATP6V1E2,,
,,,,,STRADA,,
,,,,,THEM4,,
,,,,,ATP6V1G3,,
,,,,,ATP6V0E2,,
,,,,,ATP6V0D2,,
,,,,,ATP6V1C2,,
