Lysine degradation (KEGG),ABC transporters (KEGG),Prion diseases (KEGG),Ganglio Sphingolipid Metabolism (Wikipathways),Biogenic Amine Synthesis (Wikipathways),Signaling by Insulin receptor (Reactome),"{ESR1,24} (Static Module)","{SPTAN1,10} (Static Module)",IL-3 down reg. targets (Netpath),TGF beta receptor down reg. targets (Netpath),IL-4 down reg. targets (Netpath),IL-6 up reg. targets (Netpath),Leishmaniasis (KEGG),Phagosome (KEGG),Leukocyte transendothelial migration (KEGG),Malaria (KEGG),"{GRB2,414} (Static Module)",IL-4 up reg. targets (Netpath)
ACAT1,ABCA1,BAX,FUT1,AANAT,AKT2,CRHBP,ADD1,CDKN1B,A2M,ALOX5,BCL3,C3,ACTB,ACTB,CD36,AP2A2,ACTN1
ACAT2,ABCA2,C1QA,B4GALNT1,ACHE,ATP6V1A,CRYZ,ADD2,CCR3,ABCA3,ALOX5AP,PRDM1,CR1,ACTG1,ACTG1,CD40,ALK,ACAN
ALDH2,ABCA3,C1QB,ST3GAL1,ASMT,ATP6V1B1,CYP1B1,PLEC,CSF1R,ABO,BCL6,C4BPA,MAPK14,ATP6V1A,ACTN4,CD40LG,ALOX15B,JAG1
ALDH1B1,ABCB7,C1QC,ST3GAL2,CHAT,ATP6V1B2,ESR1,SPTA1,CTSK,ACACB,DST,C4BPB,CYBA,ATP6V1B1,ACTN1,CD81,AMPH,AHR
ALDH9A1,ABCA4,C5,ST8SIA1,COMT,ATP6V0C,ESR2,SPTAN1,FOS,ACO1,CAV3,CD44,ELK1,ATP6V1B2,ACTN2,COMP,ANGPT1,AIM1
ALDH3A2,ABCD1,C6,B3GALT4,DBH,ATP6V1C1,ESRRG,SPTB,IL5RA,ACTA2,CD9,CDKN1B,FCGR1A,ATP6V0C,ACTN3,CR1,ANGPT2,ALOX15
ALDH7A1,ABCD2,C7,ST3GAL5,DDC,ATP6V1E1,FLII,SPTBN1,SRC,ACTG1,CD27,CDKN2D,FCGR2A,ATP6V1C1,RHOA,CSF3,AXL,ANXA1
DLST,ABCC6,C8A,SLC33A1,GAD1,ATP6V0B,SERPINB9,SPTBN2,TNFRSF1A,ACVR2A,CDKN1A,CEBPB,FCGR3A,ATP6V1E1,ARHGAP5,ACKR1,BCR,ARG1
ECHS1,CFTR,C8B,ST8SIA5,GAD2,ATP6V1G2,STRN,SPTBN5,TNFRSF1B,PLIN2,CDKN1B,CEBPD,FCGR3B,ATP6V0B,RHOH,GYPA,BMX,BCL2
EHHADH,ABCC2,C8G,ST6GALNAC6,HDC,ATP6V0A1,THRA,SPTBN4,HRK,ADH1B,CHI3L1,CISH,FOS,ATP6V1G2,CDC42,GYPB,BTK,BCL3
GCDH,ABCC1,C9,,MAOA,CDK1,TIMP4,,,ADH1C,CLTB,CLU,HLA-DMA,ATP6V0A1,CDH5,GYPC,CBL,BMP2
HADHA,ABCB1,EGR1,,PAH,CRK,XBP1,,,ADH5,LTB4R,MAP3K8,HLA-DMB,ATP6AP1,CLDN4,HBA1,CBLB,BMP4
HADH,ABCB4,ELK1,,PNMT,DOK1,PRDM2,,,ADM,CYP2A6,DCN,HLA-DOA,C1R,CLDN3,HBB,CD3D,CA2
KMT2A,ABCD3,FYN,,TH,EIF4B,PRRC2A,,,ADORA2B,EGFR,HBEGF,HLA-DOB,C3,CLDN7,HBD,CD3E,CASP2
OGDH,ABCD4,HSPA1A,,TPH1,EIF4E,WISP2,,,ADRB2,FCER1G,EIF5,HLA-DPA1,CALR,MAPK14,HGF,CD3G,CASP3
PLOD1,ABCC8,HSPA5,,,EIF4EBP1,TRIP11,,,AHR,IFI6,FCGR1A,HLA-DPB1,CANX,CTNNA1,ICAM1,CD247,CD1C
PLOD2,TAP1,IL1A,,,EIF4G1,SAFB2,,,AK2,GAS1,FOS,HLA-DQA1,CD14,CTNNA2,IFNG,CD8B,CD8B
SETMAR,TAP2,IL1B,,,FGF1,PHB2,,,AKT2,GBP2,CXCL1,HLA-DQB1,CD36,CTNNB1,IL1B,CD28,CD86
SUV39H1,ABCB11,IL6,,,FGF2,ATF6,,,ALDH1A3,GEM,ID2,HLA-DRA,SCARB1,CTNND1,IL6,CD80,CDC25A
WHSC1,ABCC3,LAMC1,,,FGF3,REXO4,,,ALDH3A2,GJA4,IGFBP4,HLA-DRB1,COMP,CYBA,CXCL8,CD72,CEBPB
KMT2D,ABCG2,NCAM1,,,FGF4,ZNF398,,,AKR1B1,CXCL2,IRF1,HLA-DRB4,CTSL,CYBB,IL10,CD79A,CTSC
BBOX1,ABCG1,NCAM2,,,FGF5,DDX54,,,ANG,GZMA,JUN,IFNG,CTSS,PTK2B,IL12A,CD79B,CLCN4
PLOD3,ABCC5,NOTCH1,,,FGF6,PPARGC1B,,,ANGPT1,HLA-DQB1,JUNB,IFNGR1,CYBA,GNAI1,IL18,CHRNB1,CPM
SETD1A,ABCB6,PRKACA,,,FGF7,NCOA7,,,ANGPT2,HOXB6,LDLR,IFNGR2,CYBB,GNAI2,ITGAL,CHRNG,CPT2
KMT2B,ABCC9,PRKACB,,,FGF8,,,,ANK3,ICAM1,VWA5A,IL1A,DYNC1H1,GNAI3,ITGB2,CISH,CREM
SETDB1,ABCC4,PRKACG,,,FGF9,,,,ANXA2,ID3,MCL1,IL1B,DYNC1I1,ARHGAP35,KLRB1,CNTFR,CSF2RB
AASS,ABCA7,MAPK1,,,FGF10,,,,AOX1,IFI16,MMP3,IL4,DYNC1I2,ICAM1,LRP1,CRK,CSF3R
EHMT2,ABCA9,MAPK3,,,FGFR1,,,,NUDT2,IL2RA,MMP9,IL10,DYNC1LI2,ITGA4,MET,CRKL,VCAN
SETD1B,ABCA8,MAP2K1,,,FGFR3,,,,APBB2,IL6,ABCC1,IL12A,FCAR,ITGAL,MYD88,CSF1,CTSL
COLGALT2,ABCB8,MAP2K2,,,FGFR2,,,,APEX1,IL7R,MUC5AC,IL12B,FCGR1A,ITGAM,PECAM1,CSF1R,CYP1A1
SETD2,ABCB10,PRKX,,,FGFR4,,,,APOC1,CXCL8,MX1,IRAK1,FCGR2A,ITGB1,CCL2,CSF2RA,CYP1B1
SUV420H1,ABCB9,PRNP,,,MTOR,,,,APOE,IL18,GADD45B,ITGA4,FCGR2B,ITGB2,SDC1,CSF2RB,CYP2E1
AADAT,ABCA6,CCL5,,,GAB1,,,,AREG,IRF1,TNFRSF11B,ITGAM,FCGR3A,ITK,SDC2,CSF3R,DMD
PIPOX,ABCA5,SOD1,,,GRB2,,,,RHOA,ITGA2,PDGFRA,ITGB1,FCGR3B,CD99,SDC4,CSH1,DUSP6
WHSC1L1,ABCA12,STIP1,,,GRB10,,,,ARHGAP6,ITPKB,PIM1,ITGB2,HLA-A,MLLT4,SELE,CSK,GPR183
TMLHE,ABCG4,,,,HRAS,,,,ASAH1,KCNN2,PLA2G2A,JAK1,HLA-B,MMP2,SELP,CTF1,S1PR1
OGDHL,ABCG5,,,,INS,,,,ASNA1,KIT,POU2AF1,JAK2,HLA-C,MMP9,TGFB1,CTLA4,EDNRA
ASH1L,ABCG8,,,,INSR,,,,ATF3,LAMA3,POU2F2,JUN,HLA-DMA,MSN,TGFB2,DOCK1,EEF1A2
KMT2E,ABCC11,,,,IRS1,,,,ATP1B1,LGALS2,PPARA,MYD88,HLA-DMB,MYL2,TGFB3,DOCK3,EGR2
KMT2C,ABCC10,,,,KRAS,,,,ATP2B2,LPL,PPARD,NCF2,HLA-DOA,MYL5,THBS1,DOK1,ELAVL2
NSD1,ABCC12,,,,NRAS,,,,ATR,LTB,PPARG,NCF4,HLA-DOB,NCF2,THBS2,EFNB1,ETV3
