Gene1,Gene2,corRvec,Interaction
ACTN1,ADGRF5,0.178571429,Correlation
ADGRF5,AHCTF1,0.285714286,Correlation
ACTN1,ALDH3A2,0.75,Correlation
ADGRF5,ALDH3A2,0.571428571,Correlation
AHCTF1,ALDH3A2,0.285714286,Correlation
ACTN1,ANKRD17,0.5,Correlation
ADGRF5,ANKRD17,0.392857143,Correlation
AHCTF1,ANKRD17,0.464285714,Correlation
ALDH3A2,ANKRD17,0.321428571,Correlation
ACTN1,ANXA1,0.75,Correlation
ADGRF5,ANXA1,0.571428571,Correlation
AHCTF1,ANXA1,0.285714286,Correlation
ALDH3A2,ANXA1,1,Correlation
ANKRD17,ANXA1,0.321428571,Correlation
ADGRF5,ARHGAP29,0.642857143,Correlation
ACTN1,ARIH1,0.107142857,Correlation
ADGRF5,ARIH1,0.214285714,Correlation
AHCTF1,ARIH1,0.214285714,Correlation
ANKRD17,ARIH1,0.821428571,Correlation
ARHGAP29,ARIH1,0.285714286,Correlation
AHCTF1,ATM,0.535714286,Correlation
ALPK1,ATM,0.428571429,Correlation
ANKRD17,ATM,0.25,Correlation
ARHGAP29,ATM,0.178571429,Correlation
ARIH1,ATM,0.214285714,Correlation
ALPK1,ATP2C1,0.214285714,Correlation
ANKRD17,ATP2C1,0.107142857,Correlation
ARIH1,ATP2C1,0.214285714,Correlation
ATM,ATP2C1,0.178571429,Correlation
ACTN1,ATP5C1,0.214285714,Correlation
ALDH3A2,ATP5C1,0.357142857,Correlation
ANXA1,ATP5C1,0.357142857,Correlation
AP2S1,ATP5C1,0.785714286,Correlation
ACTN1,ATP5E,0.428571429,Correlation
AP2S1,ATP5E,0.428571429,Correlation
ATP2C1,ATP5E,0.607142857,Correlation
ATP5C1,ATP5E,0.285714286,Correlation
AHCTF1,AURKAIP1,0.142857143,Correlation
AP2S1,AURKAIP1,0.428571429,Correlation
ARHGAP29,AURKAIP1,0.25,Correlation
ATM,AURKAIP1,0.178571429,Correlation
ATP5C1,AURKAIP1,0.321428571,Correlation
ACTN1,BBIP1,0.357142857,Correlation
ADGRF5,BBIP1,0.642857143,Correlation
AHCTF1,BBIP1,0.428571429,Correlation
ALDH3A2,BBIP1,0.535714286,Correlation
ANKRD17,BBIP1,0.642857143,Correlation
ANXA1,BBIP1,0.535714286,Correlation
ARHGAP29,BBIP1,0.535714286,Correlation
ARIH1,BBIP1,0.607142857,Correlation
ACTN1,BGN,0.142857143,Correlation
ADGRF5,BGN,0.25,Correlation
ALDH3A2,BGN,0.321428571,Correlation
ANXA1,BGN,0.321428571,Correlation
AP2S1,BGN,0.678571429,Correlation
ARHGAP29,BGN,0.214285714,Correlation
ATP5C1,BGN,0.428571429,Correlation
ATP5E,BGN,0.214285714,Correlation
AURKAIP1,BGN,0.142857143,Correlation
ACTN1,BPTF,0.142857143,Correlation
ADGRF5,BPTF,0.571428571,Correlation
ALDH3A2,BPTF,0.25,Correlation
ANKRD17,BPTF,0.678571429,Correlation
ANXA1,BPTF,0.25,Correlation
ARHGAP29,BPTF,0.714285714,Correlation
ARIH1,BPTF,0.75,Correlation
ATM,BPTF,0.214285714,Correlation
BBIP1,BPTF,0.75,Correlation
ACTN1,BTN3A3,0.285714286,Correlation
ADGRF5,BTN3A3,0.857142857,Correlation
ALDH3A2,BTN3A3,0.678571429,Correlation
ANXA1,BTN3A3,0.678571429,Correlation
AP2S1,BTN3A3,0.285714286,Correlation
ARHGAP29,BTN3A3,0.428571429,Correlation
ATP5C1,BTN3A3,0.285714286,Correlation
AURKAIP1,BTN3A3,0.214285714,Correlation
BBIP1,BTN3A3,0.357142857,Correlation
BGN,BTN3A3,0.607142857,Correlation
BPTF,BTN3A3,0.214285714,Correlation
ADGRF5,C14orf1,0.535714286,Correlation
AHCTF1,C14orf1,0.321428571,Correlation
ALDH3A2,C14orf1,0.142857143,Correlation
ANXA1,C14orf1,0.142857143,Correlation
AP2S1,C14orf1,0.25,Correlation
ATP5C1,C14orf1,0.142857143,Correlation
AURKAIP1,C14orf1,0.535714286,Correlation
BTN3A3,C14orf1,0.607142857,Correlation
AP2S1,C1orf61,0.392857143,Correlation
ARHGAP29,C1orf61,0.321428571,Correlation
ATM,C1orf61,0.214285714,Correlation
AURKAIP1,C1orf61,0.857142857,Correlation
BGN,C1orf61,0.214285714,Correlation
C14orf1,C1orf61,0.357142857,Correlation
ADGRF5,C6orf106,0.392857143,Correlation
ALPK1,C6orf106,0.214285714,Correlation
ANKRD17,C6orf106,0.607142857,Correlation
ARHGAP29,C6orf106,0.678571429,Correlation
ARIH1,C6orf106,0.857142857,Correlation
ATM,C6orf106,0.142857143,Correlation
BBIP1,C6orf106,0.75,Correlation
BPTF,C6orf106,0.928571429,Correlation
ACTN1,CCDC53,0.357142857,Correlation
ADGRF5,CCDC53,0.214285714,Correlation
ALDH3A2,CCDC53,0.321428571,Correlation
ANXA1,CCDC53,0.321428571,Correlation
AP2S1,CCDC53,0.714285714,Correlation
ATP5C1,CCDC53,0.642857143,Correlation
ATP5E,CCDC53,0.142857143,Correlation
BGN,CCDC53,0.678571429,Correlation
BTN3A3,CCDC53,0.571428571,Correlation
C14orf1,CCDC53,0.178571429,Correlation
ACTN1,CCDC93,0.607142857,Correlation
ADGRF5,CCDC93,0.75,Correlation
ALDH3A2,CCDC93,0.571428571,Correlation
ANKRD17,CCDC93,0.5,Correlation
ANXA1,CCDC93,0.571428571,Correlation
ARHGAP29,CCDC93,0.285714286,Correlation
ARIH1,CCDC93,0.357142857,Correlation
BBIP1,CCDC93,0.607142857,Correlation
BGN,CCDC93,0.321428571,Correlation
BPTF,CCDC93,0.535714286,Correlation
BTN3A3,CCDC93,0.714285714,Correlation
C14orf1,CCDC93,0.285714286,Correlation
C6orf106,CCDC93,0.428571429,Correlation
CCDC53,CCDC93,0.571428571,Correlation
ACTN1,CCT3,0.464285714,Correlation
ADGRF5,CCT3,0.75,Correlation
AHCTF1,CCT3,0.321428571,Correlation
ALDH3A2,CCT3,0.857142857,Correlation
ANKRD17,CCT3,0.392857143,Correlation
ANXA1,CCT3,0.857142857,Correlation
ARHGAP29,CCT3,0.535714286,Correlation
ARIH1,CCT3,0.142857143,Correlation
ATP5C1,CCT3,0.142857143,Correlation
BBIP1,CCT3,0.821428571,Correlation
