"","ID","P-value","BHadjP-value","nGenes","nPathway","Name"
"Pentose.and.glucuronate.interconversions..KEGG.",1,1,1,0,23,"Pentose.and.glucuronate.interconversions..KEGG."
"Fructose.and.mannose.metabolism..KEGG.",2,1,1,0,36,"Fructose.and.mannose.metabolism..KEGG."
"Lysine.degradation..KEGG.",3,1,1,0,49,"Lysine.degradation..KEGG."
"Starch.and.sucrose.metabolism..KEGG.",4,1,1,0,43,"Starch.and.sucrose.metabolism..KEGG."
"Pantothenate.and.CoA.biosynthesis..KEGG.",5,1,1,0,17,"Pantothenate.and.CoA.biosynthesis..KEGG."
"Nitrogen.metabolism..KEGG.",6,1,1,0,23,"Nitrogen.metabolism..KEGG."
"ABC.transporters..KEGG.",7,1,1,0,43,"ABC.transporters..KEGG."
"Complement.and.coagulation.cascades..KEGG.",8,1,1,0,68,"Complement.and.coagulation.cascades..KEGG."
"Jak.STAT.signaling.pathway..KEGG.",9,1,1,0,152,"Jak.STAT.signaling.pathway..KEGG."
"Phototransduction..KEGG.",10,1,1,0,27,"Phototransduction..KEGG."
"Prion.diseases..KEGG.",11,0.00406871662301095,0.0589963910336588,2,35,"Prion.diseases..KEGG."
"Phase.I..non.P450..Wikipathways.",12,1,1,0,7,"Phase.I..non.P450..Wikipathways."
"Ganglio.Sphingolipid.Metabolism..Wikipathways.",13,1,1,0,10,"Ganglio.Sphingolipid.Metabolism..Wikipathways."
"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways.",14,1,1,0,21,"Urea.cycle.and.metabolism.of.amino.groups..Wikipathways."
"Complement.Activation..Classical.Pathway..Wikipathways.",15,1,1,0,16,"Complement.Activation..Classical.Pathway..Wikipathways."
"Biogenic.Amine.Synthesis..Wikipathways.",16,0.0393180216196087,0.38007420898955,1,15,"Biogenic.Amine.Synthesis..Wikipathways."
"Complement.and.Coagulation.Cascades..Wikipathways.",17,1,1,0,50,"Complement.and.Coagulation.Cascades..Wikipathways."
"Glucuronidation..Wikipathways.",18,1,1,0,17,"Glucuronidation..Wikipathways."
"SIDS.Susceptibility.Pathways..Wikipathways.",19,0.159372920993641,1,1,65,"SIDS.Susceptibility.Pathways..Wikipathways."
"Signaling.by.Insulin.receptor..Reactome.",20,0.00329575003305915,0.0589963910336588,3,108,"Signaling.by.Insulin.receptor..Reactome."
"Opioid.Signalling..Reactome.",21,1,1,0,79,"Opioid.Signalling..Reactome."
"X.ESR1.24...Static.Module.",22,1,1,0,24,"X.ESR1.24...Static.Module."
"X.F2.46...Static.Module.",23,1,1,0,46,"X.F2.46...Static.Module."
"X.HSPA8.34...Static.Module.",24,1,1,0,30,"X.HSPA8.34...Static.Module."
"X.NRP1.11...Static.Module.",25,1,1,0,9,"X.NRP1.11...Static.Module."
"X.POR.15...Static.Module.",26,1,1,0,15,"X.POR.15...Static.Module."
"X.RAN.17...Static.Module.",27,1,1,0,16,"X.RAN.17...Static.Module."
"X.SPTAN1.10...Static.Module.",28,1,1,0,10,"X.SPTAN1.10...Static.Module."
"X.SREBF1.11...Static.Module.",29,1,1,0,11,"X.SREBF1.11...Static.Module."
