,ID,P-value,BHadjP-value,nGenes,nPathway,Name
Signaling by Insulin receptor  Reactome ,20,3.12E-47,9.06E-46,30,108,Signaling.by.Insulin.receptor..Reactome.
Jak STAT signaling pathway  KEGG ,9,8.74E-46,9.48E-45,32,152,Jak.STAT.signaling.pathway..KEGG.
Opioid Signalling  Reactome ,21,9.81E-46,9.48E-45,27,79,Opioid.Signalling..Reactome.
SIDS Susceptibility Pathways  Wikipathways ,19,1.57E-31,1.14E-30,19,65,SIDS.Susceptibility.Pathways..Wikipathways.
Lysine degradation  KEGG ,3,5.89E-30,3.42E-29,17,49,Lysine.degradation..KEGG.
RAN 17   Static Module ,27,9.52E-22,4.60E-21,10,16,X.RAN.17...Static.Module.
ESR1 24   Static Module ,22,7.26E-15,3.01E-14,8,24,X.ESR1.24...Static.Module.
Prion diseases  KEGG ,11,1.92E-11,6.95E-11,7,35,Prion.diseases..KEGG.
SPTAN1 10   Static Module ,28,7.17E-11,2.31E-10,5,10,X.SPTAN1.10...Static.Module.
HSPA8 34   Static Module ,24,5.20E-10,1.51E-09,6,30,X.HSPA8.34...Static.Module.
Complement and coagulation cascades  KEGG ,8,2.51E-09,6.62E-09,7,68,Complement.and.coagulation.cascades..KEGG.
Complement and Coagulation Cascades  Wikipathways ,17,1.32E-08,3.18E-08,6,50,Complement.and.Coagulation.Cascades..Wikipathways.
F2 46   Static Module ,23,3.54E-07,7.90E-07,5,46,X.F2.46...Static.Module.
NRP1 11   Static Module ,25,2.37E-06,4.90E-06,3,9,X.NRP1.11...Static.Module.
SREBF1 11   Static Module ,29,4.63E-06,8.94E-06,3,11,X.SREBF1.11...Static.Module.
ABC transporters  KEGG ,7,1.01E-05,1.82E-05,4,43,ABC.transporters..KEGG.
Biogenic Amine Synthesis  Wikipathways ,16,0.000940227,0.001603916,2,15,Biogenic.Amine.Synthesis..Wikipathways.
Urea cycle and metabolism of amino groups  Wikipathways ,14,0.001857321,0.00299235,2,21,Urea.cycle.and.metabolism.of.amino.groups..Wikipathways.
Nitrogen metabolism  KEGG ,6,0.002228427,0.003401283,2,23,Nitrogen.metabolism..KEGG.
Phototransduction  KEGG ,10,0.003066258,0.004446073,2,27,Phototransduction..KEGG.
Fructose and mannose metabolism  KEGG ,2,0.005402701,0.007460873,2,36,Fructose.and.mannose.metabolism..KEGG.
Complement Activation  Classical Pathway  Wikipathways ,15,0.047053316,0.062024825,1,16,Complement.Activation..Classical.Pathway..Wikipathways.
Glucuronidation  Wikipathways ,18,0.049918348,0.062940526,1,17,Glucuronidation..Wikipathways.
Pentose and glucuronate interconversions  KEGG ,1,1,1,0,23,Pentose.and.glucuronate.interconversions..KEGG.
Starch and sucrose metabolism  KEGG ,4,1,1,0,43,Starch.and.sucrose.metabolism..KEGG.
Pantothenate and CoA biosynthesis  KEGG ,5,1,1,0,17,Pantothenate.and.CoA.biosynthesis..KEGG.
Phase I  non P450  Wikipathways ,12,1,1,0,7,Phase.I..non.P450..Wikipathways.
Ganglio Sphingolipid Metabolism  Wikipathways ,13,1,1,0,10,Ganglio.Sphingolipid.Metabolism..Wikipathways.
POR 15   Static Module ,26,1,1,0,15,X.POR.15...Static.Module.
