GeneID,1-TDPneg,2-TDPneg,3-TDPneg,4-TDPneg,5-TDPneg,6-TDPneg,7-TDPneg,1-TDPpos,2-TDPpos,3-TDPpos,4-TDPpos,5-TDPpos,6-TDPpos,7-TDPpos
ENSG00000146574,331,564,812,456,386,461,518,347,629,907,529,288,422,547
ENSG00000146576,279,486,526,734,377,469,200,233,577,525,1127,364,470,448
ENSG00000146587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146592,2841,4707,4809,7305,6070,4548,5987,1475,5434,2951,5291,4235,3383,1319
ENSG00000146618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146648,4303,91,225,3159,3185,174,1820,5000,6675,5416,5922,6798,5814,4568
ENSG00000146666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146670,5,9,29,19,10,10,3,15,34,42,26,7,17,10
ENSG00000146674,94,120,81,87,92,80,85,97,154,187,150,127,116,72
ENSG00000146676,1284,1197,1548,1895,1607,1574,974,1094,1837,1558,2004,1402,1257,600
ENSG00000146677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146678,0,1,1,0,0,0,0,2,4,0,0,1,1,4
ENSG00000146700,15,16,27,34,34,3,4,30,22,15,152,30,7,19
ENSG00000146701,514,598,917,1063,528,834,464,525,850,842,1459,540,667,640
ENSG00000146707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146729,1446,2277,2531,3750,2061,2869,2624,1232,3845,2948,3878,1919,2712,1878
ENSG00000146731,526,969,658,1069,788,936,379,578,1171,574,1803,835,869,347
ENSG00000146733,664,325,980,1270,839,543,736,745,549,1242,1534,783,646,1231
ENSG00000146755,0,0,3,1,0,0,2,0,2,2,2,0,0,7
ENSG00000146757,547,545,427,1047,712,672,420,695,1093,672,736,1116,914,699
ENSG00000146776,11619,11683,13406,17329,12949,9463,11255,14250,16839,14984,19589,15822,11068,13906
ENSG00000146802,756,1221,1072,1674,1318,1373,685,523,1711,1172,1369,1095,1431,553
ENSG00000146809,58,45,18,4,205,36,31,67,43,13,4,99,30,34
ENSG00000146826,59,92,59,257,91,115,7,72,224,71,195,81,104,35
ENSG00000146828,110,129,133,326,184,116,66,118,236,226,218,199,143,146
ENSG00000146830,451,365,398,260,449,429,411,367,481,319,589,537,415,285
ENSG00000146833,1358,2421,2766,2884,2343,1926,1891,1372,2678,2567,2673,2291,1826,1804
ENSG00000146834,114,55,152,88,80,87,56,100,120,151,174,103,73,25
ENSG00000146839,5,2,16,6,4,5,10,4,7,24,15,4,6,7
ENSG00000146842,74,113,106,84,105,153,28,45,152,131,146,86,120,48
ENSG00000146856,1535,2752,2595,2116,2390,3260,1685,1405,4736,3651,3734,2927,4728,2785
ENSG00000146857,1,2,5,1,1,4,6,1,11,5,8,0,11,41
ENSG00000146858,150,271,287,372,246,252,118,95,228,169,428,146,159,31
ENSG00000146859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146872,3783,5203,4835,6706,5256,5469,3478,3520,5632,4743,6683,4559,4941,3749
ENSG00000146904,43,44,12,3,29,26,66,18,27,28,17,26,16,8
ENSG00000146909,451,541,1035,771,676,598,527,448,573,873,581,658,604,488
ENSG00000146910,134,209,258,215,172,269,124,72,70,83,231,86,118,184
ENSG00000146918,620,1049,604,1580,1051,909,381,549,899,530,827,840,789,474
ENSG00000146926,2,0,1,1,1,1,1,0,1,1,0,1,1,1
ENSG00000146938,13978,13240,12866,13577,14072,13511,11312,13732,17669,15645,22567,14184,13128,13497
ENSG00000146950,765,1138,1241,1425,1075,1070,865,780,1654,1038,1334,1033,1038,699
ENSG00000146955,1,4,13,3,8,10,9,10,8,4,6,5,4,24
ENSG00000146963,190,526,449,1136,326,530,445,206,743,464,1283,299,416,516
ENSG00000146966,1463,1344,1629,2243,1790,1506,1253,1061,1779,1693,3023,1974,1525,1468
ENSG00000147003,8,21,48,61,15,19,10,4,25,23,72,10,26,5
ENSG00000147010,7266,7322,7846,10614,8778,7708,6492,7295,9963,8974,12562,8765,8185,7101
ENSG00000147027,630,434,417,992,1283,866,826,421,662,452,1803,1006,692,970
ENSG00000147036,1150,2174,1440,990,2681,2877,1422,712,1924,1619,958,1237,1823,1334
ENSG00000147041,287,97,50,596,617,137,263,657,2178,1215,2039,1942,1634,1108
ENSG00000147044,7446,8628,8560,10983,10231,10718,8266,8145,12568,10441,12908,10748,11533,10232
ENSG00000147050,9775,9609,10925,15304,9552,9581,5981,8547,9878,10144,13363,8248,8509,6434
ENSG00000147059,254,278,306,432,197,274,199,198,517,451,394,234,361,252
ENSG00000147065,223,149,170,642,401,193,281,230,235,235,457,300,210,261
ENSG00000147081,0,0,0,14,0,0,0,0,0,0,0,1,0,0
ENSG00000147082,53,68,90,86,93,77,119,70,104,89,151,119,136,51
ENSG00000147099,14843,19240,17790,16723,17318,21876,17199,14747,18551,17381,16119,17314,19904,17662
ENSG00000147100,2198,2622,2505,3272,2385,2278,3700,1749,3803,2840,4654,2533,2363,3112
ENSG00000147113,2,1,2,84,3,1,125,16,16,2,14,24,3,8
ENSG00000147117,214,271,479,421,276,396,404,195,417,623,654,266,457,443
ENSG00000147118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147119,86,109,120,107,130,113,121,69,215,173,251,126,117,184
ENSG00000147121,2221,2664,2920,2503,3406,2741,3100,1951,3043,2794,3445,3009,2321,2902
ENSG00000147123,115,105,167,174,176,140,181,110,174,165,327,154,131,130
ENSG00000147124,1192,1483,1678,1736,1643,1103,1407,1256,2526,2802,1647,2031,1630,2092
ENSG00000147127,17,57,30,21,55,55,2,37,89,55,84,42,50,93
ENSG00000147130,877,1451,1674,2162,1216,2108,2039,966,1836,1439,2083,1447,1748,2387
ENSG00000147133,3274,6120,6894,6097,5707,7501,5848,2502,5010,4897,5090,4541,5577,4564
ENSG00000147138,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000147140,627,852,1068,1269,855,1239,745,718,1241,1309,1768,783,1125,984
ENSG00000147144,327,272,289,260,381,243,201,299,393,278,926,421,235,177
ENSG00000147145,1,3,0,27,6,9,0,5,3,8,2,8,6,0
ENSG00000147155,120,227,176,283,186,145,82,79,255,217,270,123,148,114
ENSG00000147160,6,2,10,0,13,9,0,2,1,1,3,4,3,10
ENSG00000147162,9897,19721,14473,17121,18242,18774,8243,8023,13013,9185,12961,13087,11918,6313
ENSG00000147164,364,285,545,721,356,362,142,393,520,794,975,366,372,258
ENSG00000147166,33,6,18,2,17,5,0,24,23,15,10,16,10,0
ENSG00000147168,0,2,5,0,1,0,1,0,0,5,7,5,0,1
ENSG00000147174,1959,1667,1551,929,2758,1069,1328,1836,1225,1085,942,2124,906,1356
ENSG00000147180,606,1485,527,651,954,868,401,575,2002,793,1062,920,1120,507
ENSG00000147183,0,1,0,1,0,0,0,0,1,1,4,3,0,2
ENSG00000147202,9814,12460,12186,8444,10318,16296,9414,7513,8498,9993,7280,8182,10843,7935
ENSG00000147206,12,3,1,1,2,25,0,5,3,11,2,13,9,28
ENSG00000147223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147224,276,203,149,373,261,143,153,315,433,290,650,330,237,215
ENSG00000147231,210,426,266,529,523,239,381,157,288,112,296,315,182,221
ENSG00000147234,459,80,150,542,416,132,390,509,1016,727,1246,741,727,531
ENSG00000147246,1307,270,478,3402,2176,325,1610,1504,4293,2989,5861,2549,4565,1223
ENSG00000147251,970,409,548,893,1204,337,737,1683,2820,2461,2754,1901,2040,1295
ENSG00000147255,375,126,111,95,158,107,63,517,275,319,76,364,306,115
ENSG00000147256,0,0,0,9,6,0,83,6,35,2,3,7,4,1
ENSG00000147257,93,237,134,330,219,331,223,172,206,228,521,244,266,303
ENSG00000147262,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000147274,2039,2413,2578,2895,2600,2407,1780,1910,3609,3397,2925,2477,2810,2118
ENSG00000147316,4474,5006,5442,4596,6355,5819,4311,4290,5015,4167,4135,5747,5115,5583
ENSG00000147324,2855,3312,3704,3463,3277,3129,2530,2632,3795,3321,3238,3063,2596,2319
ENSG00000147364,3219,4068,3289,4180,4313,4191,2207,3018,4824,3496,4790,4440,4686,2897
ENSG00000147378,6,4,19,11,19,1,0,11,0,14,6,12,0,44
ENSG00000147381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147383,266,425,492,540,536,430,649,382,726,480,737,445,434,895
ENSG00000147394,180,129,246,344,268,160,259,178,397,308,167,251,262,127
ENSG00000147400,84,75,148,119,124,133,56,98,147,125,185,115,127,72
ENSG00000147403,159,320,289,723,243,230,221,122,402,252,652,196,233,185
ENSG00000147408,18041,17423,19109,26816,23971,17638,14831,13971,16311,12926,13365,18175,14443,13569
ENSG00000147416,3646,5256,3898,6098,5364,4940,2765,3736,6598,4114,7547,4281,4528,2887
ENSG00000147419,545,750,624,1177,846,862,279,552,1026,778,1843,724,921,715
ENSG00000147421,8972,8562,8990,10390,10996,10291,8936,8913,12434,10031,13640,10871,10396,7692
ENSG00000147432,30,30,20,86,95,81,59,56,194,88,80,109,147,124
ENSG00000147434,63,16,13,177,102,46,10,78,332,186,370,202,161,202
ENSG00000147437,52,63,30,41,87,49,71,83,78,87,34,95,38,55
ENSG00000147439,1665,1763,1762,961,1751,1557,1514,1368,1497,1153,1285,1558,1247,1486
ENSG00000147443,0,0,0,2,0,1,1,0,1,1,1,0,1,0
ENSG00000147454,1008,1409,1509,1468,1346,1669,1097,896,2137,1955,1618,1183,1627,1223
ENSG00000147457,758,1052,805,1160,970,601,341,593,1516,849,1643,1071,648,467
ENSG00000147459,336,133,157,3289,203,205,564,401,319,278,802,361,224,423
ENSG00000147465,17,43,50,6,46,72,56,32,86,73,111,57,62,10
ENSG00000147471,314,477,652,340,358,380,411,267,529,616,758,385,392,527
ENSG00000147475,301,378,336,496,507,476,209,260,633,518,738,450,547,205
ENSG00000147481,140620,58611,53430,83444,134354,56988,78258,139633,106803,92556,86592,162567,111714,120573
ENSG00000147485,1639,1549,1372,1405,1962,1648,1521,1688,2841,1749,2412,2196,2407,2696
ENSG00000147488,459,196,241,7105,346,333,2328,682,730,395,1110,647,539,368
ENSG00000147509,334,622,779,1065,825,667,787,522,759,739,1774,1050,752,1055
ENSG00000147526,9139,10674,12082,14117,13451,17451,11786,8912,14393,11053,16413,12282,13981,9391
ENSG00000147533,628,972,580,1128,908,1114,360,558,1251,594,1386,888,732,291
ENSG00000147535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147536,5,3,6,16,4,11,1,11,40,13,6,7,12,1
ENSG00000147548,10628,13030,14591,19502,15519,14189,15179,10770,14889,14315,16899,15475,12762,16443
ENSG00000147570,19,12,15,166,33,15,53,35,63,50,823,46,38,30
ENSG00000147571,2,3,1,24,7,0,5,3,74,142,148,19,19,7
ENSG00000147573,16,0,0,1,43,1,3,7,35,16,0,24,31,7
ENSG00000147576,194,1086,783,1068,645,1591,446,307,1541,1296,1180,734,1561,515
ENSG00000147586,0,0,1,0,0,0,0,1,0,2,2,0,1,0
ENSG00000147588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147592,80,72,18,19,71,74,24,73,78,23,37,104,82,130
ENSG00000147596,1,2,1,1,1,1,1,1,2,1,0,4,0,0
ENSG00000147601,1722,2445,1722,2837,2744,2804,1060,1656,3506,2256,3366,2729,2796,1497
ENSG00000147604,65,99,50,57,60,33,16,37,102,41,192,66,62,19
ENSG00000147606,64,25,65,24,109,33,22,52,85,93,10,96,79,131
ENSG00000147613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147614,1,3,2,2,0,1,1,3,4,3,2,5,9,1
ENSG00000147642,19957,22879,18060,17677,22358,24796,16956,17769,19542,15132,19677,18477,17166,17360
ENSG00000147647,763,769,526,551,1340,827,656,1715,1619,1189,1588,2434,1725,1134
ENSG00000147649,3058,5064,5355,6543,4047,4758,4072,3330,5947,5991,7304,3823,4163,3782
ENSG00000147650,5102,7507,5013,5506,5885,6595,3326,4582,6131,3851,4550,4454,4753,3365
ENSG00000147654,870,1217,808,1108,1412,1353,778,729,1219,684,1216,1164,1102,663
ENSG00000147655,5435,2747,3245,3152,3946,7667,4231,6386,7874,7184,5530,5153,7681,6642
ENSG00000147669,127,119,93,200,141,120,39,85,153,92,177,68,122,101
ENSG00000147676,696,1120,764,443,987,1328,713,444,901,500,384,731,774,590
ENSG00000147677,2726,3861,3047,3043,3515,3033,1537,2838,4162,2989,3637,3136,2721,1711
ENSG00000147679,8179,6874,6505,4182,10674,6931,7128,6325,7883,6644,5341,9030,6172,6278
ENSG00000147684,159,390,253,479,263,251,164,196,643,374,378,305,327,116
ENSG00000147687,2672,3203,3924,4467,3723,3648,4278,2831,4170,4434,5896,3808,3466,4529
ENSG00000147689,9,5,7,13,7,6,4,9,2,12,5,9,9,7
ENSG00000147697,0,1,2,0,2,2,0,0,1,1,0,0,1,0
ENSG00000147724,37946,25866,20864,24069,30725,19424,25671,36675,29181,20406,31716,27543,20474,28488
ENSG00000147753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147789,372,473,532,664,632,420,315,336,634,526,634,543,438,322
ENSG00000147799,3567,3480,4240,4481,4066,3325,4932,2648,3326,3292,3702,3638,2579,4872
ENSG00000147804,55,33,58,66,47,66,20,28,31,37,63,48,39,27
ENSG00000147813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147852,280,765,618,919,695,1195,505,272,729,409,850,515,691,691
ENSG00000147853,1755,1600,1265,1271,2364,1136,1313,1700,2315,1767,1854,2235,1287,1707
ENSG00000147854,2081,3053,2508,2978,3077,3405,1977,1984,3523,2698,3646,2795,3447,1686
ENSG00000147862,23101,15137,13835,9740,17552,20121,17071,20310,16921,11205,16048,20975,16354,14730
ENSG00000147869,1,12,0,0,8,4,0,2,9,1,7,1,15,0
ENSG00000147872,98,83,93,68,62,110,54,62,148,80,78,72,67,54
ENSG00000147873,0,5,1,0,3,10,0,4,4,3,6,4,5,0
ENSG00000147874,589,825,712,999,920,1028,431,567,1264,806,952,830,1084,488
ENSG00000147883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147889,70,58,69,108,74,70,118,109,156,189,187,140,131,164
ENSG00000147894,1196,2622,1255,1847,2108,1969,969,1110,3102,1372,1784,1972,2104,1056
ENSG00000147896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147905,14361,16378,16580,14739,18786,15861,12592,12292,15043,13564,12880,15211,14715,12546
ENSG00000147912,119,125,174,234,125,137,138,105,156,182,503,132,105,128
ENSG00000147955,153,256,440,1231,241,271,85,162,433,435,1264,219,261,141
ENSG00000147996,2545,2325,1997,3734,3788,2027,1750,3292,3747,2674,4683,4176,2555,2966
ENSG00000148019,1624,2069,1584,1701,2246,2117,1067,1487,2488,1939,2107,2102,2052,1403
ENSG00000148053,72081,94084,59727,68270,78203,74395,50795,66697,92452,57430,83565,76471,71212,64157
ENSG00000148057,484,697,612,1050,725,847,370,340,1233,587,1159,743,793,440
ENSG00000148082,12617,25701,16244,23729,16869,19290,14293,11675,24468,13511,27371,13984,13544,11815
ENSG00000148090,9445,9822,8551,8476,11381,10258,8740,9218,11260,8854,8825,10847,10902,9572
ENSG00000148110,1448,2168,1543,2969,1931,2122,1244,1502,2694,1889,2155,1719,2139,1328
ENSG00000148120,19641,18880,19121,22575,21366,15631,17659,20086,23918,18632,24975,21193,17784,19241
ENSG00000148123,3,2,3,1,4,5,3,1,6,1,3,1,3,4
ENSG00000148136,7,0,4,0,6,3,0,5,2,4,0,9,0,6
ENSG00000148143,2083,2115,1855,2578,2215,1047,830,3235,5131,4514,6808,3699,2485,2556
ENSG00000148153,1395,2041,2519,2323,2268,2589,1686,1322,2107,2391,2354,1942,2241,2897
ENSG00000148154,1310,1484,1494,1864,1820,1597,1363,1126,2023,1444,1410,1598,1541,1601
ENSG00000148156,0,0,2,0,0,1,0,1,1,0,0,1,4,0
ENSG00000148158,4923,6363,6777,9325,5491,4998,4265,4692,7808,7238,7810,4992,5147,4043
ENSG00000148175,132,73,40,242,214,108,113,173,344,164,264,332,233,159
ENSG00000148180,858,476,550,1356,839,597,652,1349,1153,795,1192,1159,751,900
ENSG00000148187,1035,1755,1499,2646,1302,1664,1468,1081,2796,2119,2886,1449,2104,1497
ENSG00000148200,5627,6339,5359,5418,6362,6811,4884,6219,7293,5987,6678,7086,6987,7244
ENSG00000148204,236,167,237,239,210,87,405,249,184,149,252,285,89,340
ENSG00000148215,3,0,2,0,2,5,1,0,2,5,0,0,5,0
ENSG00000148218,602,695,794,1109,785,612,556,534,1085,924,1088,797,734,625
ENSG00000148219,33951,20997,20309,27745,25569,17275,23349,59137,70412,50800,70010,49889,50419,49653
ENSG00000148225,209,538,578,891,305,552,508,268,975,914,1427,371,764,576
ENSG00000148229,217,173,336,287,168,242,227,211,261,424,233,174,250,145
ENSG00000148248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148288,142,108,104,117,45,78,194,130,193,109,251,79,100,151
ENSG00000148290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148308,489,843,902,831,856,673,562,560,805,700,714,797,612,684
ENSG00000148331,155,145,268,402,189,178,99,189,278,271,149,230,168,208
ENSG00000148334,110,137,229,163,107,138,45,53,194,223,489,110,117,181
ENSG00000148335,133,171,146,363,142,134,169,130,239,126,249,147,113,21
ENSG00000148337,1993,1259,2101,2160,1925,1556,2068,1442,1493,1775,1936,1781,1519,2066
ENSG00000148339,522,710,464,569,580,452,676,423,792,482,483,497,409,385
ENSG00000148341,681,792,1033,1126,700,914,631,557,837,886,1290,590,676,559
ENSG00000148343,223,206,268,409,203,204,294,247,334,350,444,281,253,320
ENSG00000148344,13,21,32,36,22,18,19,9,62,26,60,17,17,13
ENSG00000148346,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ENSG00000148356,1127,1585,2145,2170,1745,1884,1747,1187,1887,1728,2277,1513,1829,1786
ENSG00000148357,60,33,20,85,48,44,36,95,161,104,178,130,177,58
ENSG00000148358,2465,3747,5011,6620,3281,3757,3434,2121,4472,4475,6397,2844,3230,3528
ENSG00000148362,104,100,191,127,168,80,219,89,140,180,200,170,48,212
ENSG00000148377,21,9,3,2,29,9,13,14,5,8,4,16,5,1
ENSG00000148384,339,332,243,544,344,318,97,316,327,211,423,450,297,311
ENSG00000148386,1,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000148396,1677,2829,3653,3247,2547,2971,1879,1563,3022,2800,3012,2150,2294,1760
ENSG00000148399,708,1091,1553,1441,872,1129,1283,612,1195,1298,899,855,863,950
ENSG00000148400,12,7,3,116,25,17,29,22,27,14,70,58,18,9
ENSG00000148408,43720,53962,59035,52982,63418,61518,52566,38679,47589,43416,49601,60091,51123,50358
ENSG00000148411,384,109,147,854,351,72,189,760,1203,906,954,728,579,353
ENSG00000148426,3,4,20,7,4,3,1,4,2,8,1,7,7,2
ENSG00000148429,653,773,864,1566,901,634,711,614,1855,1403,1535,1144,1310,776
ENSG00000148444,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ENSG00000148450,993,2140,2849,1876,1856,2698,2454,1031,2082,2340,2776,1676,2176,2406
ENSG00000148459,1204,1378,1688,1687,1526,2092,1361,1272,2530,2302,2461,1613,2550,1919
ENSG00000148468,11558,10953,12584,11425,10034,10919,8136,13576,12473,12130,11657,10183,10137,10200
ENSG00000148481,5330,7337,5161,4514,6459,10190,4948,4753,7185,4694,5038,5347,8040,6079
ENSG00000148482,57,32,40,133,81,79,38,64,50,74,84,123,68,43
ENSG00000148483,49,57,37,29,97,33,68,52,42,39,4,107,39,49
ENSG00000148484,2466,3964,3803,3193,4204,3430,3567,3003,4612,3942,4051,4157,3458,4300
ENSG00000148488,116,79,127,255,209,95,357,262,314,316,315,299,207,338
ENSG00000148498,2490,591,976,4477,3188,432,2344,2611,4932,3441,6643,3428,3522,1814
ENSG00000148513,118,113,147,104,360,136,451,239,125,103,114,288,152,132
ENSG00000148516,20789,13822,13574,14421,19797,11672,14245,26648,19871,19279,19026,24374,17678,20952
ENSG00000148541,8440,9252,5667,11060,9960,8678,4425,9700,11841,7319,11928,10197,8375,7294
ENSG00000148572,364,517,456,709,433,513,341,359,552,368,526,435,442,370
ENSG00000148584,203,62,235,224,162,344,282,86,18,144,203,68,161,183
ENSG00000148600,329,218,610,2049,592,287,354,458,623,953,3144,817,572,742
ENSG00000148602,2,6,3,5,1,6,10,11,3,2,9,8,2,7
ENSG00000148604,4,6,7,129,43,11,29,54,26,11,21,151,12,59
ENSG00000148606,1977,3433,3347,4542,2727,4113,1804,1685,3724,2936,4244,2224,3489,2296
ENSG00000148634,9172,12384,12454,12363,13277,13665,8575,8292,11144,11790,11682,11596,12982,9638
ENSG00000148655,5961,2711,2210,6489,5585,3393,4305,10054,4124,2430,6989,13185,6016,6201
ENSG00000148660,4119,2224,2524,4643,3357,2413,4302,4601,4695,3809,6762,4159,3969,4498
ENSG00000148671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148672,1722,2198,2005,3497,2305,2398,1889,2083,3306,2506,3350,2429,2737,2334
ENSG00000148677,23,36,41,6,15,30,2,10,38,17,164,12,50,0
ENSG00000148680,390,363,447,976,677,207,533,667,1351,845,1802,1183,590,524
ENSG00000148688,1099,1386,1032,1572,1570,1278,704,1150,1948,1216,1940,1459,1274,958
ENSG00000148690,1557,2521,2179,2267,2485,3460,1948,1282,3157,2110,3575,2103,3383,2606
ENSG00000148700,7342,6186,5447,10163,9899,5080,6754,9495,9853,7540,11117,11931,7199,9445
ENSG00000148702,292,191,163,26,300,360,422,166,192,183,49,247,284,153
ENSG00000148704,26,0,4,45,72,3,19,62,294,249,481,126,150,88
ENSG00000148719,1196,1479,1715,1890,1405,1259,889,1101,1626,1585,2027,1348,1179,1343
ENSG00000148730,1494,1216,1209,1947,1287,1271,864,1371,2178,1902,1914,1110,1344,849
ENSG00000148734,52,26,33,114,111,22,83,75,156,127,60,135,107,56
ENSG00000148735,8,970,227,0,413,18,356,20,784,317,204,289,42,494
ENSG00000148737,2335,2893,3458,2399,3115,3273,3342,2030,2951,2929,2580,2759,3259,2841
ENSG00000148773,9,3,3,20,14,6,2,6,11,9,0,26,12,1
ENSG00000148795,16,12,9,5,10,14,6,14,21,36,85,16,24,23
ENSG00000148798,1990,1823,2299,2762,2061,2417,1244,1897,2790,3262,4539,1759,2525,1624
ENSG00000148803,0,1,4,0,0,0,0,2,0,1,0,0,2,0
ENSG00000148814,1036,1708,1295,1498,1535,1721,959,1027,1748,1246,1372,1527,1494,1359
ENSG00000148824,1,1,3,0,0,0,0,0,2,0,0,4,0,0
ENSG00000148826,18,8,3,60,22,10,26,21,15,6,51,32,8,4
ENSG00000148832,39,61,124,84,74,89,53,58,64,73,139,146,75,82
ENSG00000148834,869,1255,1100,1636,1335,1215,1239,844,1425,1098,1273,1168,921,1259
ENSG00000148835,305,318,211,252,323,252,208,198,406,256,453,339,240,150
ENSG00000148840,434,540,550,751,462,546,640,311,669,587,773,441,455,304
ENSG00000148841,48,108,143,92,131,124,38,62,113,93,533,123,93,64
ENSG00000148842,9235,8835,10541,10824,10513,7903,8355,9517,10431,10796,13103,10687,7862,9824
ENSG00000148843,433,716,756,1081,707,772,576,506,948,824,1166,682,689,404
ENSG00000148848,1089,2416,1890,1676,2214,1976,1943,1727,3463,2828,3522,3859,3168,3725
ENSG00000148908,7,5,11,52,2,4,7,14,28,22,90,21,14,5
ENSG00000148925,5665,9839,7278,6529,9718,9131,5741,5939,8534,5697,7118,8200,6681,5245
ENSG00000148926,3,2,0,3,3,0,3,0,7,2,3,4,5,4
ENSG00000148935,2391,5535,4031,4656,3617,4289,3289,3249,7984,6479,5439,3583,6296,5383
ENSG00000148942,53,91,72,158,197,273,366,96,138,72,104,176,238,142
ENSG00000148943,1301,986,1090,1639,1197,1221,832,1161,1891,1310,1656,1107,1168,549
ENSG00000148948,65671,58404,42110,72340,67587,74151,60668,75262,77545,61078,86195,90813,83579,86898
ENSG00000148950,1791,3021,2063,2542,2749,2304,1190,1844,3274,2372,2360,2468,2296,1430
ENSG00000148965,0,1,5,3,1,1,4,0,4,2,0,0,4,0
ENSG00000148985,187,300,575,937,264,284,180,205,713,891,793,410,545,411
ENSG00000149016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149021,22,16,27,67,35,8,17,44,46,50,63,38,28,33
ENSG00000149043,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000149050,299,655,512,359,691,560,213,323,667,542,434,611,590,406
ENSG00000149054,616,997,588,467,949,575,358,825,1273,803,969,1426,745,829
ENSG00000149084,3797,9435,6269,7072,6414,6757,4192,3995,10558,7198,7783,5594,6755,5266
ENSG00000149089,1822,2242,2178,4032,2161,2701,1419,1677,2996,1947,3702,2041,2804,1331
ENSG00000149090,372,2872,1695,2520,1241,2949,2766,188,1323,936,1247,404,1189,631
ENSG00000149091,2845,2644,3409,3480,2647,2595,2399,2463,2759,2759,4563,3162,2571,3606
ENSG00000149100,682,1239,1093,1398,1162,1535,821,658,1676,1006,1283,968,1232,1032
ENSG00000149115,523,1016,1026,675,609,894,1128,374,927,689,690,578,625,443
ENSG00000149124,293,185,137,234,408,204,298,359,132,141,46,530,188,312
ENSG00000149131,265,216,289,231,397,221,396,328,509,531,768,567,450,245
ENSG00000149133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149136,257,336,400,301,300,369,79,187,358,385,361,281,289,317
ENSG00000149150,824,639,885,1273,805,494,660,823,688,544,1257,699,362,991
ENSG00000149177,6411,7479,7947,9158,7502,5756,5895,5352,10259,9211,9823,6210,6063,5365
ENSG00000149179,9299,12294,11202,15930,11309,13056,10691,8642,12296,10519,14517,10781,11836,10700
ENSG00000149182,365,359,463,826,429,358,195,313,430,354,452,413,478,303
ENSG00000149187,9117,11585,12528,13930,10755,14098,8859,6870,11070,8768,11488,7618,9721,7572
ENSG00000149196,1039,1355,1780,2082,1646,1085,2021,1005,1678,1861,2183,1307,1186,2235
ENSG00000149201,1300,1241,974,1739,1803,898,2652,1115,1392,1082,1833,1541,919,2767
ENSG00000149212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149218,1474,1492,1317,2757,1943,1262,1040,1473,2260,1393,2985,1737,1002,1068
ENSG00000149231,3293,5255,2954,3195,5749,4068,3256,2952,5992,3704,4498,5467,4342,4131
ENSG00000149243,233,194,334,384,227,218,244,210,328,350,394,251,236,211
ENSG00000149256,69097,46793,40703,83445,60644,41028,51285,60899,70627,42626,74579,69855,53927,55285
ENSG00000149257,12,2,6,20,9,3,4,16,26,18,0,10,11,57
ENSG00000149260,565,527,876,678,594,593,403,578,924,996,1316,689,794,717
ENSG00000149262,645,1069,1261,1421,1069,848,868,680,1176,1108,1208,852,883,961
ENSG00000149269,11335,17086,13007,19783,14582,14864,9299,10239,15439,11913,18620,11971,12547,9936
ENSG00000149273,758,965,1356,2110,948,995,978,833,1697,1742,2729,1045,1151,1572
