ensembl_gene_id,hgnc_symbol
ENSG00000072110,ACTN1
ENSG00000069122,GPR116
ENSG00000153207,AHCTF1
ENSG00000072210,ALDH3A2
ENSG00000073331,ALPK1
ENSG00000132466,ANKRD17
ENSG00000135046,ANXA1
ENSG00000042753,AP2S1
ENSG00000137962,ARHGAP29
ENSG00000166233,ARIH1
ENSG00000149311,ATM
ENSG00000017260,ATP2C1
ENSG00000165629,ATP5C1
ENSG00000124172,ATP5E
ENSG00000175756,AURKAIP1
ENSG00000214413,BBIP1
ENSG00000182492,BGN
ENSG00000171634,BPTF
ENSG00000111801,BTN3A3
ENSG00000133935,C14orf1
ENSG00000125462,C1orf61
ENSG00000196821,C6orf106
ENSG00000120860,CCDC53
ENSG00000125633,CCDC93
ENSG00000163468,CCT3
ENSG00000130177,CDC16
ENSG00000140937,CDH11
ENSG00000149187,CELF1
ENSG00000099814,CEP170B
ENSG00000005194,CIAPIN1
ENSG00000171365,CLCN5
ENSG00000074201,CLNS1A
ENSG00000183978,COA3
ENSG00000187498,COL4A1
ENSG00000181789,COPG1
ENSG00000182158,CREB3L2
ENSG00000143162,CREG1
ENSG00000159176,CSRP1
ENSG00000101439,CST3
ENSG00000175215,CTDSP2
ENSG00000168036,CTNNB1
ENSG00000197021,CXorf40B
ENSG00000138061,CYP1B1
ENSG00000011465,DCN
ENSG00000108654,DDX5
ENSG00000119689,DLST
ENSG00000198947,DMD
ENSG00000151914,DST
ENSG00000125977,EIF2S2
ENSG00000087502,ERGIC2
ENSG00000100632,ERH
ENSG00000048828,FAM120A
ENSG00000135842,FAM129A
ENSG00000152102,FAM168B
ENSG00000166147,FBN1
ENSG00000109670,FBXW7
ENSG00000146729,GBAS
ENSG00000105373,GLTSCR2
ENSG00000144366,GULP1
ENSG00000244734,HBB
ENSG00000111727,HCFC2
ENSG00000103415,HMOX2
ENSG00000096746,HNRNPH3
ENSG00000105323,HNRNPUL1
ENSG00000096384,HSP90AB1
ENSG00000115738,ID2
ENSG00000115594,IL1R1
ENSG00000091409,ITGA6
ENSG00000101384,JAG1
ENSG00000136504,KAT7
ENSG00000178695,KCTD12
ENSG00000147050,KDM6A
ENSG00000126214,KLC1
ENSG00000025800,KPNA6
ENSG00000102897,LYRM1
ENSG00000112893,MAN2A1
ENSG00000139793,MBNL2
ENSG00000197771,MCMBP
ENSG00000106484,MEST
ENSG00000071073,MGAT4A
ENSG00000119684,MLH3
ENSG00000061987,MON2
ENSG00000051825,MPHOSPH9
ENSG00000166902,MRPL16
ENSG00000239789,MRPS17
ENSG00000119950,MXI1
ENSG00000172936,MYD88
ENSG00000196531,NACA
ENSG00000151366,NDUFC2
ENSG00000168653,NDUFS5
ENSG00000010322,NISCH
ENSG00000114857,NKTR
ENSG00000141279,NPEPPS
ENSG00000106236,NPTX2
ENSG00000088833,NSFL1C
ENSG00000102898,NUTF2
ENSG00000160991,ORAI2
ENSG00000167770,OTUB1
ENSG00000070756,PABPC1
ENSG00000184226,PCDH9
ENSG00000115539,PDCL3
ENSG00000113068,PFDN1
ENSG00000123349,PFDN5
ENSG00000241973,PI4KA
ENSG00000131788,PIAS3
ENSG00000180957,PITPNB
ENSG00000021300,PLEKHB1
ENSG00000152952,PLOD2
ENSG00000143442,POGZ
ENSG00000255529,POLR2M
ENSG00000131626,PPFIA1
ENSG00000115685,PPP1R7
ENSG00000113575,PPP2CA
ENSG00000104695,PPP2CB
ENSG00000184304,PRKD1
ENSG00000117360,PRPF3
ENSG00000197746,PSAP
ENSG00000159352,PSMD4
ENSG00000163636,PSMD6
ENSG00000163629,PTPN13
ENSG00000141542,RAB40B
ENSG00000138698,RAP1GDS1
ENSG00000162775,RBM15
ENSG00000113269,RNF130
ENSG00000114125,RNF7
ENSG00000169855,ROBO1
ENSG00000197958,RPL12
ENSG00000174748,RPL15
ENSG00000182899,RPL35A
ENSG00000165502,RPL36AL
ENSG00000145592,RPL37
ENSG00000177600,RPLP2
ENSG00000168028,RPSA
ENSG00000136444,RSAD1
ENSG00000183207,RUVBL2
ENSG00000105711,SCN1B
ENSG00000138758,SEPT11
ENSG00000142864,SERBP1
ENSG00000140264,SERF2
ENSG00000099995,SF3A1
ENSG00000115524,SF3B1
ENSG00000039123,SKIV2L2
ENSG00000117394,SLC2A1
ENSG00000174446,SNAPC5
ENSG00000139343,SNRPF
ENSG00000159140,SON
ENSG00000113140,SPARC
ENSG00000153037,SRP19
ENSG00000116754,SRSF11
ENSG00000157216,SSBP3
ENSG00000168610,STAT3
ENSG00000117632,STMN1
ENSG00000164828,SUN1
ENSG00000132718,SYT11
ENSG00000055208,TAB2
ENSG00000120948,TARDBP
ENSG00000113407,TARS
ENSG00000105254,TBCB
ENSG00000196628,TCF4
ENSG00000166848,TERF2IP
ENSG00000169908,TM4SF1
ENSG00000070269,TMEM260
ENSG00000170876,TMEM43
ENSG00000139921,TMX1
ENSG00000156298,TSPAN7
ENSG00000253352,TUG1
ENSG00000185651,UBE2L3
ENSG00000132549,VPS13B
ENSG00000184575,XPOT
ENSG00000119596,YLPM1
ENSG00000136758,YME1L1
ENSG00000128016,ZFP36
ENSG00000072121,ZFYVE26
ENSG00000015171,ZMYND11
ENSG00000172466,ZNF24
ENSG00000198039,ZNF273
ENSG00000081665,ZNF506
ENSG00000177853,ZNF518A
