"","meandiff"
"Glycolysis / Gluconeogenesis (KEGG)",0.5
"Citrate cycle (TCA cycle) (KEGG)",0.666666666666667
"Pentose phosphate pathway (KEGG)",0.5
"Pentose and glucuronate interconversions (KEGG)",0.333333333333333
"Fructose and mannose metabolism (KEGG)",0.666666666666667
"Galactose metabolism (KEGG)",0.166666666666667
"Ascorbate and aldarate metabolism (KEGG)",0.333333333333333
"Fatty acid biosynthesis (KEGG)",0.5
"Fatty acid elongation in mitochondria (KEGG)",0.166666666666667
"Fatty acid metabolism (KEGG)",0.5
"Synthesis and degradation of ketone bodies (KEGG)",0
"Steroid biosynthesis (KEGG)",0
"Primary bile acid biosynthesis (KEGG)",0
"Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)",0.666666666666667
"Steroid hormone biosynthesis (KEGG)",1.16666666666667
"Oxidative phosphorylation (KEGG)",0.333333333333333
"Purine metabolism (KEGG)",0.166666666666667
"Caffeine metabolism (KEGG)",0.666666666666667
"Pyrimidine metabolism (KEGG)",0
"Alanine, aspartate and glutamate metabolism (KEGG)",0.166666666666667
"Glycine, serine and threonine metabolism (KEGG)",0
"Cysteine and methionine metabolism (KEGG)",0.166666666666667
"Valine, leucine and isoleucine degradation (KEGG)",0.833333333333333
"Valine, leucine and isoleucine biosynthesis (KEGG)",0.666666666666667
"Lysine degradation (KEGG)",0.166666666666667
"Arginine and proline metabolism (KEGG)",0.5
"Histidine metabolism (KEGG)",0.333333333333333
"Tyrosine metabolism (KEGG)",0.166666666666667
"Phenylalanine metabolism (KEGG)",0.166666666666667
"Tryptophan metabolism (KEGG)",0.333333333333333
"beta-Alanine metabolism (KEGG)",0.166666666666667
"Taurine and hypotaurine metabolism (KEGG)",0
"Selenocompound metabolism (KEGG)",0.166666666666667
"Cyanoamino acid metabolism (KEGG)",0
"Glutathione metabolism (KEGG)",0.166666666666667
"Starch and sucrose metabolism (KEGG)",0.5
"N-Glycan biosynthesis (KEGG)",0
"Other glycan degradation (KEGG)",0
"Mucin type O-Glycan biosynthesis (KEGG)",0.166666666666667
"Other types of O-glycan biosynthesis (KEGG)",0.166666666666667
"Amino sugar and nucleotide sugar metabolism (KEGG)",0.166666666666667
"Glycosaminoglycan degradation (KEGG)",0.666666666666667
"Glycosaminoglycan biosynthesis - chondroitin sulfate (KEGG)",0
"Glycosaminoglycan biosynthesis - keratan sulfate (KEGG)",0
"Glycosaminoglycan biosynthesis - heparan sulfate (KEGG)",0
"Glycerolipid metabolism (KEGG)",0
"Inositol phosphate metabolism (KEGG)",0.333333333333333
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (KEGG)",0.666666666666667
"Glycerophospholipid metabolism (KEGG)",0.166666666666667
"Ether lipid metabolism (KEGG)",0
"Arachidonic acid metabolism (KEGG)",0.666666666666667
"Linoleic acid metabolism (KEGG)",0
"alpha-Linolenic acid metabolism (KEGG)",0.5
"Sphingolipid metabolism (KEGG)",0
"Glycosphingolipid biosynthesis - lacto and neolacto series (KEGG)",0.833333333333333
"Glycosphingolipid biosynthesis - globo series (KEGG)",0
"Glycosphingolipid biosynthesis - ganglio series (KEGG)",0.5
"Pyruvate metabolism (KEGG)",0.666666666666667
"Glyoxylate and dicarboxylate metabolism (KEGG)",0.666666666666667
"Propanoate metabolism (KEGG)",0.666666666666667
"Butanoate metabolism (KEGG)",0
"One carbon pool by folate (KEGG)",0.333333333333333
"Riboflavin metabolism (KEGG)",0.5
"Vitamin B6 metabolism (KEGG)",0
"Nicotinate and nicotinamide metabolism (KEGG)",0.166666666666667
"Pantothenate and CoA biosynthesis (KEGG)",0.166666666666667
"Folate biosynthesis (KEGG)",0
"Retinol metabolism (KEGG)",0.5
"Porphyrin and chlorophyll metabolism (KEGG)",0.5
"Terpenoid backbone biosynthesis (KEGG)",0.333333333333333
"Nitrogen metabolism (KEGG)",0.166666666666667
"Sulfur metabolism (KEGG)",0
"Aminoacyl-tRNA biosynthesis (KEGG)",0.166666666666667
"Metabolism of xenobiotics by cytochrome P450 (KEGG)",0.166666666666667
"Drug metabolism - cytochrome P450 (KEGG)",0.166666666666667
"Drug metabolism - other enzymes (KEGG)",0.5
"Biosynthesis of unsaturated fatty acids (KEGG)",0
"Metabolic pathways (KEGG)",0.5
"ABC transporters (KEGG)",0.166666666666667
"Ribosome biogenesis in eukaryotes (KEGG)",0
"Ribosome (KEGG)",0
"RNA transport (KEGG)",0
"mRNA surveillance pathway (KEGG)",0
"RNA degradation (KEGG)",0
"RNA polymerase (KEGG)",0
"Basal transcription factors (KEGG)",0.333333333333333
"DNA replication (KEGG)",0
"Spliceosome (KEGG)",0
"Proteasome (KEGG)",0
"Protein export (KEGG)",0.5
"PPAR signaling pathway (KEGG)",0.666666666666667
"Base excision repair (KEGG)",0
"Nucleotide excision repair (KEGG)",0
"Mismatch repair (KEGG)",0
"Homologous recombination (KEGG)",0.5
"Non-homologous end-joining (KEGG)",0
"MAPK signaling pathway (KEGG)",0
"ErbB signaling pathway (KEGG)",0
"Calcium signaling pathway (KEGG)",0.333333333333333
"Cytokine-cytokine receptor interaction (KEGG)",0.333333333333333
"Chemokine signaling pathway (KEGG)",0
"Phosphatidylinositol signaling system (KEGG)",0
"Neuroactive ligand-receptor interaction (KEGG)",0
"Cell cycle (KEGG)",0
"Oocyte meiosis (KEGG)",0
"p53 signaling pathway (KEGG)",0
"Ubiquitin mediated proteolysis (KEGG)",0
"Sulfur relay system (KEGG)",1.16666666666667
"SNARE interactions in vesicular transport (KEGG)",0.333333333333333
"Regulation of autophagy (KEGG)",0
"Protein processing in endoplasmic reticulum (KEGG)",0
"Lysosome (KEGG)",0.166666666666667
"Endocytosis (KEGG)",0.333333333333333
"Phagosome (KEGG)",0.166666666666667
"Peroxisome (KEGG)",0.666666666666667
"mTOR signaling pathway (KEGG)",0
"Apoptosis (KEGG)",0
"Cardiac muscle contraction (KEGG)",0.166666666666667
"Vascular smooth muscle contraction (KEGG)",0
"Wnt signaling pathway (KEGG)",0.666666666666667
"Dorso-ventral axis formation (KEGG)",0
"Notch signaling pathway (KEGG)",0.166666666666667
"Hedgehog signaling pathway (KEGG)",0.166666666666667
"TGF-beta signaling pathway (KEGG)",0
"Axon guidance (KEGG)",0
"VEGF signaling pathway (KEGG)",0
"Osteoclast differentiation (KEGG)",0
"Focal adhesion (KEGG)",0
"ECM-receptor interaction (KEGG)",0
"Cell adhesion molecules (CAMs) (KEGG)",0
"Adherens junction (KEGG)",0.333333333333333
"Tight junction (KEGG)",0
"Gap junction (KEGG)",0.333333333333333
"Complement and coagulation cascades (KEGG)",0.666666666666667
"Antigen processing and presentation (KEGG)",0
"Renin-angiotensin system (KEGG)",0.166666666666667
"Toll-like receptor signaling pathway (KEGG)",0
"NOD-like receptor signaling pathway (KEGG)",0
"RIG-I-like receptor signaling pathway (KEGG)",0.5
"Cytosolic DNA-sensing pathway (KEGG)",0
"Jak-STAT signaling pathway (KEGG)",0.666666666666667
"Hematopoietic cell lineage (KEGG)",0
"Natural killer cell mediated cytotoxicity (KEGG)",0
"T cell receptor signaling pathway (KEGG)",0
"B cell receptor signaling pathway (KEGG)",0
"Fc epsilon RI signaling pathway (KEGG)",0
"Fc gamma R-mediated phagocytosis (KEGG)",0.166666666666667
"Leukocyte transendothelial migration (KEGG)",0.166666666666667
"Intestinal immune network for IgA production (KEGG)",0
"Circadian rhythm - mammal (KEGG)",0.333333333333333
"Long-term potentiation (KEGG)",0.166666666666667
"Neurotrophin signaling pathway (KEGG)",0
"Glutamatergic synapse (KEGG)",0
"Long-term depression (KEGG)",0.5
"Olfactory transduction (KEGG)",0
"Taste transduction (KEGG)",0.5
"Phototransduction (KEGG)",1.16666666666667
"Regulation of actin cytoskeleton (KEGG)",0.333333333333333
"Insulin signaling pathway (KEGG)",0
"GnRH signaling pathway (KEGG)",0
"Progesterone-mediated oocyte maturation (KEGG)",0
"Melanogenesis (KEGG)",0
"Adipocytokine signaling pathway (KEGG)",0
"Type II diabetes mellitus (KEGG)",0
"Type I diabetes mellitus (KEGG)",0
"Maturity onset diabetes of the young (KEGG)",0.166666666666667
"Aldosterone-regulated sodium reabsorption (KEGG)",0.333333333333333
"Endocrine and other factor-regulated calcium reabsorption (KEGG)",0.5
"Vasopressin-regulated water reabsorption (KEGG)",0.166666666666667
"Proximal tubule bicarbonate reclamation (KEGG)",0.666666666666667
"Collecting duct acid secretion (KEGG)",0.666666666666667
"Salivary secretion (KEGG)",0
"Gastric acid secretion (KEGG)",0
"Pancreatic secretion (KEGG)",0.5
"Carbohydrate digestion and absorption (KEGG)",0
"Protein digestion and absorption (KEGG)",0
"Fat digestion and absorption (KEGG)",1.5
"Bile secretion (KEGG)",0
"Vitamin digestion and absorption (KEGG)",0.166666666666667
"Mineral absorption (KEGG)",0
"Alzheimer's disease (KEGG)",0
"Parkinson's disease (KEGG)",0.333333333333333
"Amyotrophic lateral sclerosis (ALS) (KEGG)",0.333333333333333
"Huntington's disease (KEGG)",0
"Prion diseases (KEGG)",0.333333333333333
"Bacterial invasion of epithelial cells (KEGG)",0
"Vibrio cholerae infection (KEGG)",0.333333333333333
"Epithelial cell signaling in Helicobacter pylori infection (KEGG)",0.333333333333333
"Pathogenic Escherichia coli infection (KEGG)",0.166666666666667
"Shigellosis (KEGG)",0
"Leishmaniasis (KEGG)",0
"Chagas disease (American trypanosomiasis) (KEGG)",0.166666666666667
"African trypanosomiasis (KEGG)",0.166666666666667
"Malaria (KEGG)",0
"Toxoplasmosis (KEGG)",0.5
"Amoebiasis (KEGG)",0
"Staphylococcus aureus infection (KEGG)",0
"Tuberculosis (KEGG)",0
"Hepatitis C (KEGG)",0
"Measles (KEGG)",0.166666666666667
"Influenza A (KEGG)",0
"Pathways in cancer (KEGG)",0
"Colorectal cancer (KEGG)",0
"Renal cell carcinoma (KEGG)",0
"Pancreatic cancer (KEGG)",0
"Endometrial cancer (KEGG)",0
"Glioma (KEGG)",0
"Prostate cancer (KEGG)",0
"Thyroid cancer (KEGG)",0
"Basal cell carcinoma (KEGG)",0.333333333333333
"Melanoma (KEGG)",0
"Bladder cancer (KEGG)",0
"Chronic myeloid leukemia (KEGG)",0
"Acute myeloid leukemia (KEGG)",0
"Small cell lung cancer (KEGG)",0.166666666666667
"Non-small cell lung cancer (KEGG)",0
"Asthma (KEGG)",0
"Autoimmune thyroid disease (KEGG)",0
"Systemic lupus erythematosus (KEGG)",0
"Rheumatoid arthritis (KEGG)",0
"Allograft rejection (KEGG)",0
"Graft-versus-host disease (KEGG)",0
"Primary immunodeficiency (KEGG)",0
"Hypertrophic cardiomyopathy (HCM) (KEGG)",0.333333333333333
"Arrhythmogenic right ventricular cardiomyopathy (ARVC) (KEGG)",0
"Dilated cardiomyopathy (KEGG)",0.666666666666667
"Viral myocarditis (KEGG)",0.5
"Glutathione metabolism (Wikipathways)",0
"Alanine and aspartate metabolism (Wikipathways)",0.333333333333333
"Translation Factors (Wikipathways)",0
"Electron Transport Chain (Wikipathways)",0.166666666666667
"GPCRs, Other (Wikipathways)",0
"Osteoclast Signaling (Wikipathways)",0
"IL-5 Signaling Pathway (Wikipathways)",0
"Matrix Metalloproteinases (Wikipathways)",0
"Pentose Phosphate Pathway (Wikipathways)",0
"Phase I, non P450 (Wikipathways)",0.333333333333333
"Androgen Receptor Signaling Pathway (Wikipathways)",0
"AMPK signaling (Wikipathways)",0.166666666666667
"Sphingolipid Metabolism (Wikipathways)",0.166666666666667
"Ganglio Sphingolipid Metabolism (Wikipathways)",0.5
"Globo Sphingolipid Metabolism (Wikipathways)",0.166666666666667
"BMP signalling and regulation (Wikipathways)",0
"Fatty Acid Beta Oxidation (Wikipathways)",0.333333333333333
"NOD pathway (Wikipathways)",0
"Osteopontin Signaling (Wikipathways)",0
"Regulation of toll-like receptor signaling pathway (Wikipathways)",0
"Serotonin Transporter Activity (Wikipathways)",0
"TOR signaling (Wikipathways)",0
"Selenium Pathway (Wikipathways)",0
"Physiological and Pathological Hypertrophy  of the Heart (Wikipathways)",0.166666666666667
"miRNA regulation of DNA Damage Response (Wikipathways)",0
"Vitamin D synthesis (Wikipathways)",0.166666666666667
"Vitamin B12 Metabolism (Wikipathways)",0.166666666666667
"Angiogenesis (Wikipathways)",0
"Energy Metabolism (Wikipathways)",0
"MicroRNAs in cardiomyocyte hypertrophy (Wikipathways)",0
"miRNAs involved in DDR (Wikipathways)",0.166666666666667
"Proteins and DNA Sequences in Cardicac Structures (Wikipathways)",0.166666666666667
"TFs Regulate miRNAs related to cardiac hypertrophy (Wikipathways)",0
"Type II diabetes mellitus (Wikipathways)",0.166666666666667
"Heart Development (Wikipathways)",0.166666666666667
"Nicotine metabolism (Wikipathways)",0.166666666666667
"Fluoropyrimidine Activity (Wikipathways)",0
"Nicotine Activity on Dopaminergic Neurons (Wikipathways)",0.166666666666667
"Codeine and morphine metabolism (Wikipathways)",1
"Eicosanoid Synthesis (Wikipathways)",0
"Nuclear Receptors (Wikipathways)",0.333333333333333
"Th1/Th2 (Wikipathways)",1.16666666666667
"TP53 network (Wikipathways)",0
"Folate Metabolism (Wikipathways)",0
"Apoptosis Modulation and Signaling (Wikipathways)",0
"Cell cycle (Wikipathways)",0
"Proteasome Degradation (Wikipathways)",0
"Integrin-mediated cell adhesion (Wikipathways)",0
"Homologous recombination (Wikipathways)",0.166666666666667
"IL-1 Signaling Pathway (Wikipathways)",0
"Cholesterol Biosynthesis (Wikipathways)",0.166666666666667
"GP-VI signaling (Wikipathways)",0
"Integrated Cancer pathway (Wikipathways)",0
"SREBP signalling (Wikipathways)",0
"Integrated Breast Cancer Pathway (Wikipathways)",0
"IL-7 Signaling Pathway (Wikipathways)",0
"Fatty Acid Omega Oxidation (Wikipathways)",0.166666666666667
"IL-9 Signaling Pathway (Wikipathways)",0
"Irinotecan Pathway (Wikipathways)",0
"B Cell Receptor Signaling Pathway (Wikipathways)",0
"TNF-alpha/NF-kB Signaling Pathway (Wikipathways)",0
"Adipogenesis (Wikipathways)",0.166666666666667
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",0.166666666666667
"Peptide GPCRs (Wikipathways)",0.333333333333333
"One Carbon Metabolism (Wikipathways)",0
"Alpha6-Beta4 Integrin Signaling Pathway (Wikipathways)",0
"Small Ligand GPCRs (Wikipathways)",0.333333333333333
"Apoptosis (Wikipathways)",0
"Signal Transduction of S1P Receptor (Wikipathways)",0.333333333333333
"EBV LMP1 signaling (Wikipathways)",0
"Notch Signaling Pathway (Wikipathways)",0.166666666666667
"Blood Clotting Cascade (Wikipathways)",0.666666666666667
"Selenium Metabolism and Selenoproteins (Wikipathways)",0.166666666666667
"IL-3 Signaling Pathway (Wikipathways)",0
"NLR proteins (Wikipathways)",0
"Myometrial Relaxation and Contraction Pathways (Wikipathways)",0
"Nuclear receptors in lipid metabolism and toxicity (Wikipathways)",0.833333333333333
"Keap1-Nrf2 Pathway (Wikipathways)",0.166666666666667
"Kit Receptor Signaling Pathway (Wikipathways)",0
"Focal Adhesion (Wikipathways)",0
"Signaling of Hepatocyte Growth Factor Receptor (Wikipathways)",0
"FAS pathway and Stress induction of HSP regulation (Wikipathways)",0
"Osteoblast Signaling (Wikipathways)",0
"Triacylglyceride Synthesis (Wikipathways)",1.33333333333333
"GPCRs, Class B Secretin-like (Wikipathways)",0.166666666666667
"Ovarian Infertility Genes (Wikipathways)",0.333333333333333
"G Protein Signaling Pathways (Wikipathways)",0.166666666666667
"Fatty Acid Biosynthesis (Wikipathways)",0.666666666666667
"Wnt Signaling Pathway NetPath (Wikipathways)",0
"IL-6 Signaling Pathway (Wikipathways)",0
"TGF-beta Receptor Signaling Pathway (Wikipathways)",0
"Mitochondrial LC-Fatty Acid Beta-Oxidation (Wikipathways)",0.5
"MAPK signaling pathway (Wikipathways)",0
"Striated Muscle Contraction (Wikipathways)",0.5
"Apoptosis Modulation by HSP70 (Wikipathways)",0
"Mitochondrial Gene Expression (Wikipathways)",0
"IL-4 signaling Pathway (Wikipathways)",0
"Wnt Signaling Pathway and Pluripotency (Wikipathways)",0
"Sandbox Pathway (Wikipathways)",0.666666666666667
"p38 MAPK Signaling Pathway (Wikipathways)",0
"Nucleotide Metabolism (Wikipathways)",0
"Eukaryotic Transcription Initiation (Wikipathways)",0
"Oxidative Stress (Wikipathways)",0
"Diurnally regulated genes with circadian orthologs (Wikipathways)",0.833333333333333
"mRNA processing (Wikipathways)",0
"MAPK Cascade (Wikipathways)",0
"Wnt Signaling Pathway (Wikipathways)",0.5
"cytochrome P450 (Wikipathways)",0
"Statin Pathway (Wikipathways)",0
"EGFR1 Signaling Pathway (Wikipathways)",0
"Non-homologous end joining (Wikipathways)",0
"G1 to S cell cycle control (Wikipathways)",0.166666666666667
"Inflammatory Response Pathway (Wikipathways)",0
"GPCRs, Class A Rhodopsin-like (Wikipathways)",0
"Tryptophan metabolism (Wikipathways)",0
"DNA Replication (Wikipathways)",0
"Hedgehog Signaling Pathway (Wikipathways)",0.5
"Endochondral Ossification (Wikipathways)",0
"Cytoplasmic Ribosomal Proteins (Wikipathways)",0
"Insulin Signaling (Wikipathways)",0
"IL-2 Signaling Pathway (Wikipathways)",0
"Steroid Biosynthesis (Wikipathways)",0.666666666666667
"Urea cycle and metabolism of amino groups (Wikipathways)",0.5
